
//  ***** GroundZero AI ***** 

//  ***** version 2.0 *****

//  designed by Philip Ruetz
//  email:  flosopher@yahoo.com

//  this AI profile has been
//  fine-tuned for ground battles
//  involving no aircraft or hovers
//  on non-water maps


//  ARM units:

Limit ARMMAKR 0    
Limit ARMMANNI 0         
Limit ARMMARK 0             
Weight ARMMART .4               
Limit ARMMAV 8
Weight ARMMAV .5            
Weight ARMMERL .6                           
Limit ARMMH 0   
Limit ARMMINE1 0   
Limit ARMMINE2 0 
Limit ARMMINE3 0
Limit ARMMINE4 0 
Limit ARMMINE5 0
Limit ARMMINE6 0                  
Limit ARMMLV 0            
Limit ARMMMKR 0          
Limit ARMMSHIP 0                   
Limit ARMMSTOR 3       
Limit ARMPEEP 0                     
Limit ARMPLAT 0              
Limit ARMPNIX 0                       
Limit ARMPT 0                    
Limit ARMPW 6
Weight ARMPW .2                 
Limit ARMRAD 0                   
Limit ARMRL 12
Weight ARMRL 1                  
Weight ARMROCK 1                   
Limit ARMROY 0                       
Limit ARMSAM 8
Weight ARMSAM .2        
Limit ARMSCORP 0          
Limit ARMSCRAM 0         
Limit ARMSEAP 0            
Limit ARMSEER 0                  
Limit ARMSEHAK 0               
Limit ARMSFIG 0              
Limit ARMSH 0
Limit ARMSILO 0                    
Limit ARMSJAM 0             
Weight ARMSNIPE 1                                
Limit ARMSONAR 0               
Limit ARMSPID 8
Weight ARMSPID .3         
Limit ARMSPY 0                      
Limit ARMSS 0          
Limit ARMSTUMP 14
Weight ARMSTUMP .7            
Limit ARMSUB 0                      
Limit ARMSUBK 0              
Limit ARMSY 0                
Limit ARMTARG 0     
Limit ARMTHOVR 0          
Limit ARMTHUND 0                        
Limit ARMTIDE 0                
Limit ARMTL 0              
Limit ARMTSHIP 0                  
Limit ARMUWES 0     
Limit ARMUWFUS 0                
Limit ARMUWMEX 0               
Limit ARMUWMS 0        
Limit ARMVADER 0                
Limit ARMVP 2
Weight ARMVP .6               
Limit ARMVULC 0       
Limit ARMWAR 8
Weight ARMWAR .6          
Limit ARMWIN 6
Weight ARMWIN .3               
Limit ARMYORK 0           
Limit ARMZEUS 12
Weight ARMZEUS .7
Weight ARMADVSOL .4
Limit ARMADVSOL 3
Limit ARMSKYSWEEPR 0
Limit ARMORCA 0
Limit AAFUS 0
Limit AGORGON 0
Limit ARMFAMINE 0
Limit ARMEYE 0                  



// CORE units:

Limit CORSOLAR 20
Limit CORMEX 10
Weight CORMOHO 1   

Limit COROS 0
Limit CORERRP 0
Limit CORERAD 8
Limit SPLINTER 0
Limit TAWF111 0
Limit cAcolyte 0
Limit CORBLAB 0
Limit CORMUSKRAT 0
Limit CORAAP 0             
Limit CORACA 0                   
Limit CORACK 8
Weight CORACK 1                   
Limit CORACSUB 0                  
Limit CORACV 6
Weight CORACV 1                   
Limit CORAH 0           
Weight CORAK 1                 
Limit CORALAB 3
Weight CORALAB .6                 
Limit CORAMPH 0               
Limit CORAP 0             
Limit CORAPE 0                        
Limit CORARAD 0               
Limit CORARCH 0                 
Limit CORASON 0              
Limit CORASP 0
Limit CORASY 0                
Limit CORATL0   
Limit CORAVP 3
Weight CORAVP .6           
Limit CORAWAC 0                  
Limit CORBATS 0                   
Limit CORBEAC 0                 
Limit CORBUILD 0                 
Limit CORBUZZ 0       
Limit CORCA 0                   
Weight CORCAN .8           
Limit CORCARRY 0                  
Limit CORCH 0                  
Limit CORCK 8
Weight CORCK 1                  
Limit CORCKFUS 0                                   
Weight CORCRASH 1                  
Limit CORCRUS 0                       
Limit CORCS 0                  
Limit CORCSA 0                 
Limit CORCV 8
Weight CORCV 1                   
Limit CORDECOM 3               
Limit CORDEV1 0              
Limit CORDOOM 14
Weight CORDOOM .7                  
Limit CORDRAG 0            
Limit CORESTOR 3       
Limit CORETER 0           
Weight CORFAST .7              
Limit CORFAV 6
Weight CORFAV .1                         
Limit CORFDRAG 0       
Limit CORFHLT 0    
Limit CORFINK 0                     
Limit CORFLAK 0             
Limit CORFMD 1   
Limit CORFMKR 0          
Limit CORFORT 0            
Limit CORFRT 0  
Limit CORFUS 8
Weight CORFUS 1              
Limit CORGANT 0             
Limit CORGATE 0              
Weight CORGATOR 1                  
Limit CORGEO 3
Weight CORGEO 1              
Weight CORGOL .7       
Limit CORHLT 14
Weight CORHLT .4            
Limit CORHP 0          
Weight CORHRK 1             
Limit CORHUNT 0               
Limit CORHURC 0               
Limit CORINT 4      
Limit CORKROG 0              
Limit CORLAB 2
Weight CORLAB .6                
Weight CORLEVLR .9                     
Limit CORLLT 7
Weight CORLLT .1
Weight CORLOKI 1          
Limit CORMAKR 0                 
Limit CORMART 12
Weight CORMART .8                            
Limit CORMH 0   
Limit CORMINE1 0   
Limit CORMINE2 0   
Limit CORMINE3 0  
Limit CORMINE4 0  
Limit CORMINE5 0 
Limit CORMINE6 0                  
Weight CORMIST .7                 
Limit CORMLV 0            
Limit CORMMKR 0                     
Weight CORMORT .7            
Limit CORMSHIP 0
Limit CORSILO 0                 
Limit CORMSTOR 3        
Limit CORPLAT 0               
Limit CORPT 0                     
Limit CORPUN 12
Weight CORPUN .8               
Weight CORPYRO .7                 
Limit CORRAD 0                  
Weight CORRAID 1          
Weight CORREAP 1            
Limit CORRL 9
Weight CORRL .3                  
Limit CORROACH 0                 
Limit CORROY 0                    
Limit CORSCORP 0           
Limit CORSEAL 0                
Limit CORSEAP 0              
Limit CORSENT 0          
Limit CORSFIG 0              
Limit CORSH 0              
Limit CORSHAD 0                        
Limit CORSHARK 0                 
Limit CORSJAM 0             
Limit CORSNAP 0                                   
Limit CORSONAR 0                
Limit CORSPEC 0                  
Limit CORSPY 0                       
Limit CORSS 0            
Limit CORSSUB 0                    
Weight CORSTORM .9                  
Limit CORSUB 0                    
Limit CORSUMO 8
Weight CORSUMO .7      
Limit CORSY 0                 
Limit CORTARG 0     
Limit CORTHOVR 0          
Weight CORTHUD 1               
Limit CORTIDE 0               
Limit CORTITAN 0                 
Limit CORTL 0              
Limit CORTOAST 0          
Limit CORTRON 0     
Limit CORTRUCK 0              
Limit CORTSHIP 0                
Limit CORUWES 0      
Limit CORUWFUS 0              
Limit CORUWMEX 0              
Limit CORUWMS 0        
Limit CORVALK 0                 
Limit CORVAMP 0               
Limit CORVENG 0                       
Limit CORVIPE 4
Weight CORVIPE .2            
Limit CORVOYR 0           
Limit CORVP 3
Weight CORVP .6             
Limit CORVRAD 0                  
Weight CORVROC .8      
Limit CORWIN 6
Weight CORWIN .3
Limit CorPestilence 0

Limit CORMTLAB 0
Weight CORADVSOL .4
Limit CORADVSOL 3
Limit CAFUS 0

Weight NukeA 1
Weight NukeC 1
Weight Aaisilo 1
Weight Caisilo 1
Limit NukeA 1
Limit NukeC 1
Limit Aaisilo 1
Limit Caisilo 1
