// Fallout AI v1.0
// ALL OUT NUCLEAR WAR!
// Weights resource and base production.
Limit CORROY 0
Limit CORSHARK 0
Limit CORSJAM 0
Limit CORSS 0
Limit CORSSUB 0
Limit CORSUB 0
Limit CORSUBK 0
Limit CORTSHIP 0

Limit CORHUNT 0
Limit CORSEAP 0
Limit CORSFIG 0

Limit CORETER 0
Limit CORFAV 0
Limit CORFING 0
Limit CORGATOR 8
Limit CORGOL 12
Limit CORLEVLR 0
Limit CORMART 0
Limit CORMIST 12
Limit CORMLV 0
Limit CORRAID 0
Limit CORREAP 0
Limit CORSEAL 0
Limit CORSENT 4
Limit CORTRUCK 0
Limit CORVRAD 0
Limit CORVROC 4

Limit CORARAD 1
Limit CORASP 1
Limit CORBEAC 0
Limit CORBUILD 0
Limit CORBUZZ 0
Limit CORCKFUS 1
Limit CORDEV1 0
Limit CORDOOM 3
Limit CORDRAG 0
Limit CORESTOR 1
Limit CORFDRAG 0
Limit CORFMD 15
Limit CORFLAK 16
Limit CORFORT 0
Limit CORFUS 15
Limit CORGATE 0
Limit CORGEO 7
Limit CORHLT 5
Limit CORINT 5
Limit CORLLT 0
Limit CORMAKR 3
Limit CORMEX 35
Limit CORMMKR 1
Limit CORMOHO 2
Limit CORMSTOR 0
Limit CORPUN 8
Limit CORRAD 0
Limit CORRL 26
Limit CORSILO 10
Limit CORSOLAR 30
Limit CORTARG 0
Limit CORTOAST 5
Limit CORTRON 0
Limit CORVIPE 0
Limit CORWIN 0

Limit CORASON 0
Limit CORATL 0
Limit CORFHLT 0
Limit CORFMKR 0
Limit CORFRT 0
Limit CORSONAR 0
Limit CORTIDE 0
Limit CORTL 0
Limit CORUWES 0
Limit CORUWFUS 0
Limit CORUWMEX 0
Limit CORUWMS 0

plan easy

// Limits factories and c-units for Easy diff.
Limit ARMAAP 0
Limit ARMALAB 1
Limit ARMASY 0
Limit ARMAVP 1
Limit ARMAP 0
Limit ARMHP 0
Limit ARMLAB 2
Limit ARMPLAT 0
Limit ARMSY 0
Limit ARMVP 2

Limit ARMACA 0
Limit ARMACK 1
Limit ARMACSUB 0
Limit ARMACV 1
Limit ARMCA 0
Limit ARMCK 1
Limit ARMCH 0
Limit ARMCS 0
Limit ARMCSA 0
Limit ARMCV 1

Limit CORAAP 0
Limit CORALAB 1
Limit CORASY 0
Limit CORAVP 1
Limit CORAP 0
Limit CORGANT 0
Limit CORHP 0
Limit CORLAB 2
Limit CORPLAT 0
Limit CORSY 0
Limit CORVP 2

Limit CORACA 0
Limit CORACK 1
Limit CORACSUB 0
Limit CORACV 1
Limit CORCA 0
Limit CORCK 1
Limit CORCH 0
Limit CORCS 0
Limit CORCSA 0
Limit CORCV 1

plan medium

// Limits factories and c-units for Medium diff.
Limit ARMAAP 2
Limit ARMALAB 2
Limit ARMASY 0
Limit ARMAVP 2
Limit ARMAP 1
Limit ARMHP 0
Limit ARMLAB 1
Limit ARMPLAT 0
Limit ARMSY 0
Limit ARMVP 1

Limit ARMACA 1
Limit ARMACK 2
Limit ARMACSUB 0
Limit ARMACV 2
Limit ARMCA 2
Limit ARMCK 2
Limit ARMCH 2
Limit ARMCS 0
Limit ARMCSA 0
Limit ARMCV 2

Limit CORAAP 2
Limit CORALAB 2
Limit CORASY 0
Limit CORAVP 2
Limit CORAP 1
Limit CORGANT 0
Limit CORHP 0
Limit CORLAB 1
Limit CORPLAT 0
Limit CORSY 0
Limit CORVP 1

Limit CORACA 1
Limit CORACK 2
Limit CORACSUB 0
Limit CORACV 2
Limit CORCA 2
Limit CORCK 2
Limit CORCH 2
Limit CORCS 0
Limit CORCSA 0
Limit CORCV 2

plan hard

// Limits factories and c-units for Hard diff.
Limit ARMAAP 3
Limit ARMALAB 2
Limit ARMASY 0
Limit ARMAVP 2
Limit ARMAP 1
Limit ARMHP 2
Limit ARMLAB 2
Limit ARMPLAT 0
Limit ARMSY 0
Limit ARMVP 1

Limit ARMACA 5
Limit ARMACK 5
Limit ARMACSUB 0
Limit ARMACV 5
Limit ARMCA 8
Limit ARMCK 3
Limit ARMCH 3
Limit ARMCS 0
Limit ARMCSA 0
Limit ARMCV 3

Limit CORAAP 3
Limit CORALAB 2
Limit CORASY 0
Limit CORAVP 2
Limit CORAP 1
Limit CORGANT 1
Limit CORHP 2
Limit CORLAB 2
Limit CORPLAT 0
Limit CORSY 0
Limit CORVP 1

Limit CORACA 5
Limit CORACK 5
Limit CORACSUB 0
Limit CORACV 5
Limit CORCA 8
Limit CORCK 3
Limit CORCH 3
Limit CORCS 0
Limit CORCSA 0
Limit CORCV 3
