/
-Date: 01-11-2002
-Auth: N/A
Weight Cormart 2
Weight Cormh 0.1
Weight Cormist 1.5
Weight Corraid 1.5
Weight Correap 2
Weight Corseal 2
Weight Corsent 2
Weight Corsh 0
Weight Corsnap 0.1
Weight Corthovr 0
Weight Cortruck 0
Weight Corvrad 0
Weight Corvroc 2
Weight Szarmaser 0
Weight Szarmjam 1.5
Weight Szcorcv 0
Weight Szcoreter 1
Weight Szcorspec 0

/ Kbots /

Weight Armamph 2
Weight Armaser 0
Weight Armck 4
Weight Armfark 2
Weight Armfast 2
Weight Armfido 2.5
Weight Armflea 1.5
Weight Armham 1.5
Weight Armjeth 1
Weight Armmark 0
Weight Armmav 2.5
Weight Armpw 1.5
Weight Armrock 1.5
Weight Armsnipe 1.5
Weight Armspy 0
Weight Armvader 0
Weight Armwar 1.5
Weight Armzeus 2.5
Weight Corak 1.5
Weight Coramph 2
Weight Corcan 2
Weight Corcrash 1
Weight Corfast 2
Weight Corhrk 2
Weight Corkrog 3.5
Weight Cormort 5.5
Weight Cornecro 0
Weight Corpyro 2
Weight Corroach 0
Weight Corspec 0
Weight Corspy 0
Weight Corstorm 1.5
Weight Corsumo 1
Weight Corthud 1.5
Weight Corvoyr 0
Weight Szarmck 0

/ Ships, Sub, And Water-units /

Weight Armaas 1
Weight Armacsub 1
Weight Armason 0
Weight Armatl 0
Weight Armbats 0.8
Weight Armcarry 8
Weight Armcrus 1
Weight Armcs 1.2
Weight Armfhlt 0
Weight Armfrt 1
Weight Armmship 0.8
Weight Armpt 0
Weight Armroy 1
Weight Armscram 0
Weight Armsjam 0.1
Weight Armsonar 0
Weight Armsub 1
Weight Armsubk 1
Weight Armtide 0
Weight Armtl 0
Weight Armtship 0
Weight Coracsub 1
Weight Corarch 1
Weight Corason 0
Weight Coratl 0
Weight Corbats 0.5
Weight Corcarry 8
Weight Corcrus 0.8
Weight Corfhlt 1.2
Weight Corfrt 1
Weight Cormship 0.8
Weight Corpt 0
Weight Corroy 1
Weight Corshark 0
Weight Corsjam 0.1
Weight Corsonar 0
Weight Corssub 1
Weight Corsub 1
Weight Cortide 0
Weight Cortl 0
Weight Cortship 0
Weight Szarmcs 0

/ Defense /

Weight Armamb 2
Weight Armamd 0
Weight Armanni 2
Weight Armbrtha 0
Weight Armdrag 0
Weight Armfdrag 0
Weight Armflak 2
Weight Armfort 0
Weight Armguard 1.5
Weight Armhlt 3
Weight Armllt 1
Weight Armrl 2
Weight Armvulc 0
Weight Corbuzz 0
Weight Cordoom 2
Weight Cordrag 0
Weight Corfdrag 0
Weight Corflak 2
Weight Corfort 0
Weight Corhlt 2.5
Weight Corint 0
Weight Corllt 1
Weight Corplas 1
Weight Corpun 2.2
Weight Corrl 2.5
Weight Cortoast 2
Weight Corvipe 0.4
Weight Zzz 0

/ Resources /

Weight Aaickfus 2
Weight Aaimexx 0
Weight Aaisolrx 8
Weight Armckfus 0
Weight Armestor 1
Weight Armfmkr 0
Weight Armfus 1
Weight Armgeo 1
Weight Armmakr 0
Weight Armmex 8.5
Weight Armmmkr 1
Weight Armmoho 0.3
Weight Armmstor 0
Weight Armsolar 9
Weight Armuwes 1
Weight Armuwfus 1
Weight Armuwmex 0
Weight Armuwms 1
Weight Armwin 0
Weight Caickfus 2
Weight Caimexx 0
Weight Caisolrx 8
Weight Corckfus 0
Weight Corestor 1
Weight Corfmkr 1
Weight Corfus 2
Weight Corgeo 1
Weight Cormakr 0
Weight Cormex 8.5
Weight Cormmkr 1
Weight Cormoho 0.3
Weight Cormstor 0
Weight Corsolar 9
Weight Coruwes 1
Weight Coruwfus 1
Weight Coruwmex 0
Weight Coruwms 0
Weight Corwin 0

/ Plants /

Weight Armaap 2
Weight Armalab 2.2
Weight Armap 1
Weight Armasy 1
Weight Armavp 2
Weight Armhp 0.1
Weight Armlab 1.2
Weight Armplat 0
Weight Armsy 2
Weight Armvp 1.2
Weight Coraap 2
Weight Coralab 2.2
Weight Corap 10
Weight Corasy 1
Weight Coravp 2
Weight Corgant 2
Weight Corhp 0.1
Weight Corlab 1.2
Weight Corplat 0
Weight Corsy 2
Weight Corvp 1.2
Weight Szarmaap 0
Weight Szcoraap 0

/ Specialized Units /

Weight Aaisilo 0.2
Weight Armarad 0
Weight Armasp 2
Weight Armbeac 0
Weight Armdev1 0
Weight Armemp 0
Weight Armgate 0
Weight Armmine1 0
Weight Armmine2 0
Weight Armmine3 0
Weight Armmine4 0
Weight Armmine5 0
Weight Armmine6 0
Weight Armrad 0
Weight Armscorp 0
Weight Armsilo 0
Weight Armss 0
Weight Armtarg 1
Weight Caisilo 0.2
Weight Corarad 0
Weight Corasp 2
Weight Corbeac 0
Weight Corbuild 0
Weight Cordev1 0
Weight Corfmd 0
Weight Corgate 0
Weight Cormine1 1
Weight Cormine2 1
Weight Cormine3 1
Weight Cormine4 1
Weight Cormine5 1
Weight Cormine6 1
Weight Corrad 0
Weight Corscorp 0
Weight Corsilo 0
Weight Corss 1
Weight Cortarg 0
Weight Cortron 0

Plan Easy

/ Workers /

Limit Armaca 3
Limit Armack 3
Limit Armacv 3
Limit Armch 0
Limit Armcv 2
Limit Armmlv 0
Limit Coraca 3
Limit Corack 4
Limit Coracv 3
Limit Corca 9
Limit Corch 0
Limit Corck 1
Limit Corcs 2
Limit Cormlv 0
Limit Szarmaca 0
Limit Szarmack 0
Limit Szarmacv 0
Limit Szarmcv 0
Limit Szcoraca 0
Limit Szcorack 0
Limit Szcoracv 0
Limit Szcorca 0
Limit Szcorck 0
Limit Szcorcs 0

/ Commanders /

Limit Armcom 0
Limit Armdecom 1
Limit Corcom 0
Limit Cordecom 1

/ Aircraft /

Limit Armatlas 0
Limit Armawac 0
Limit Armbrawl 12
Limit Armca 3
Limit Armcsa 0
Limit Armfig 9
Limit Armhawk 17
Limit Armlance 0
Limit Armpeep 0
Limit Armpnix 10
Limit Armseap 0
Limit Armsehak 0
Limit Armsfig 0
Limit Armthund 3
Limit Corape 12
Limit Corawac 0
Limit Corcsa 0
Limit Corfink 0
Limit Corhunt 0
Limit Corhurc 12
Limit Corseap 0
Limit Corsfig 0
Limit Corshad 4
Limit Cortitan 0
Limit Corvalk 0
Limit Corvamp 17
Limit Corveng 5
Limit Szarmca 0

/ Tanks /

Limit Armah 0
Limit Armanac 5
Limit Armbull 6
Limit Armcroc 2
Limit Armfav 2
Limit Armflash 6
Limit Armjam 0
Limit Armlatnk 6
Limit Armmanni 1
Limit Armmart 7
Limit Armmerl 5
Limit Armmh 5
Limit Armsam 5
Limit Armscab 0
Limit Armseer 0
Limit Armsh 0
Limit Armspid 2
Limit Armstump 6
Limit Armthovr 0
Limit Armyork 4
Limit Corah 0
Limit Corcv 2
Limit Coreter 0
Limit Corfav 2
Limit Corgator 8
Limit Corgol 9
Limit Corlevlr 6
Limit Cormabm 0
Limit Cormart 9
Limit Cormh 5
Limit Cormist 9
Limit Corraid 8
Limit Correap 8
Limit Corseal 2
Limit Corsent 4
Limit Corsh 0
Limit Corsnap 5
Limit Corthovr 0
Limit Cortruck 0
Limit Corvrad 0
Limit Corvroc 7
Limit Szarmaser 0
Limit Szarmjam 2
Limit Szcorcv 0
Limit Szcoreter 2
Limit Szcorspec 0

/ Kbots /

Limit Armamph 10
Limit Armaser 0
Limit Armck 1
Limit Armfark 2
Limit Armfast 9
Limit Armfido 9
Limit Armflea 2
Limit Armham 4
Limit Armjeth 6
Limit Armmark 0
Limit Armmav 9
Limit Armpw 6
Limit Armrock 6
Limit Armsnipe 6
Limit Armspy 0
Limit Armvader 0
Limit Armwar 6
Limit Armzeus 6
Limit Corak 9
Limit Coramph 5
Limit Corcan 9
Limit Corcrash 6
Limit Corfast 9
Limit Corhrk 9
Limit Corkrog 1
Limit Cormort 12
Limit Cornecro 0
Limit Corpyro 9
Limit Corroach 0
Limit Corspec 0
Limit Corspy 0
Limit Corstorm 6
Limit Corsumo 3
Limit Corthud 12
Limit Corvoyr 0
Limit Szarmck 0

/ Ships, Sub, And Water-units /

Limit Armaas 2
Limit Armacsub 1
Limit Armason 0
Limit Armatl 0
Limit Armbats 1
Limit Armcarry 5
Limit Armcrus 5
Limit Armcs 2
Limit Armfhlt 0
Limit Armfrt 5
Limit Armmship 1
Limit Armpt 0
Limit Armroy 2
Limit Armscram 0
Limit Armsjam 1
Limit Armsonar 0
Limit Armsub 0
Limit Armsubk 0
Limit Armtide 0
Limit Armtl 0
Limit Armtship 0
Limit Coracsub 2
Limit Corarch 2
Limit Corason 0
Limit Coratl 0
Limit Corbats 1
Limit Corcarry 6
Limit Corcrus 1
Limit Corfhlt 3
Limit Corfrt 5
Limit Cormship 1
Limit Corpt 0
Limit Corroy 5
Limit Corshark 0
Limit Corsjam 1
Limit Corsonar 0
Limit Corssub 0
Limit Corsub 0
Limit Cortide 0
Limit Cortl 0
Limit Cortship 0
Limit Szarmcs 0

/ Defense /

Limit Armamb 8
Limit Armamd 0
Limit Armanni 1
Limit Armbrtha 0
Limit Armdrag 0
Limit Armfdrag 0
Limit Armflak 6
Limit Armfort 0
Limit Armguard 6
Limit Armhlt 6
Limit Armllt 1
Limit Armrl 12
Limit Armvulc 0
Limit Corbuzz 0
Limit Cordoom 1
Limit Cordrag 0
Limit Corfdrag 0
Limit Corflak 6
Limit Corfort 0
Limit Corhlt 6
Limit Corint 0
Limit Corllt 2
Limit Corplas 1
Limit Corpun 6
Limit Corrl 4
Limit Cortoast 6
Limit Corvipe 1
Limit Zzz 0

/ Resources /

Limit Aaickfus 0
Limit Aaimexx 0
Limit Aaisolrx 0
Limit Armckfus 0
Limit Armestor 0
Limit Armfmkr 0
Limit Armfus 2
Limit Armgeo 1
Limit Armmakr 0
Limit Armmex 4
Limit Armmmkr 1
Limit Armmoho 1
Limit Armmstor 0
Limit Armsolar 5
Limit Armuwes 0
Limit Armuwfus 1
Limit Armuwmex 0
Limit Armuwms 0
Limit Armwin 0
Limit Caickfus 0
Limit Caimexx 0
Limit Caisolrx 0
Limit Corckfus 0
Limit Corestor 0
Limit Corfmkr 0
Limit Corfus 2
Limit Corgeo 1
Limit Cormakr 0
Limit Cormex 16
Limit Cormmkr 1
Limit Cormoho 1
Limit Cormstor 0
Limit Corsolar 5
Limit Coruwes 0
Limit Coruwfus 1
Limit Coruwmex 0
Limit Coruwms 0
Limit Corwin 0

/ Plants /

Limit Armaap 1
Limit Armalab 1
Limit Armap 0
Limit Armasy 1
Limit Armavp 1
Limit Armhp 0
Limit Armlab 0
Limit Armplat 0
Limit Armsy 0
Limit Armvp 0
Limit Coraap 1
Limit Coralab 1
Limit Corap 12
Limit Corasy 1
Limit Coravp 1
Limit Corgant 1
Limit Corhp 0
Limit Corlab 0
Limit Corplat 0
Limit Corsy 0
Limit Corvp 0
Limit Szarmaap 0
Limit Szcoraap 0

/ Specialized Units /

Limit Aaisilo 0
Limit Armarad 0
Limit Armasp 2
Limit Armbeac 0
Limit Armdev1 0
Limit Armemp 0
Limit Armgate 0
Limit Armmine1 0
Limit Armmine2 0
Limit Armmine3 0
Limit Armmine4 0
Limit Armmine5 0
Limit Armmine6 0
Limit Armrad 0
Limit Armscorp 0
Limit Armsilo 0
Limit Armss 0
Limit Armtarg 0
Limit Caisilo 0
Limit Corarad 0
Limit Corasp 2
Limit Corbeac 0
Limit Corbuild 0
Limit Cordev1 0
Limit Corfmd 0
Limit Corgate 0
Limit Cormine1 0
Limit Cormine2 0
Limit Cormine3 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cormine6 0
Limit Corrad 0
Limit Corscorp 0
Limit Corsilo 0
Limit Corss 0
Limit Cortarg 0
Limit Cortron 0

Plan Medium

/ Workers /

Limit Armaca 4
Limit Armack 4
Limit Armacv 4
Limit Armch 0
Limit Armcv 3
Limit Armmlv 0
Limit Coraca 4
Limit Corack 6
Limit Coracv 4
Limit Corca 13
Limit Corch 0
Limit Corck 2
Limit Corcs 3
Limit Cormlv 0
Limit Szarmaca 0
Limit Szarmack 0
Limit Szarmacv 0
Limit Szarmcv 0
Limit Szcoraca 0
Limit Szcorack 0
Limit Szcoracv 0
Limit Szcorca 0
Limit Szcorck 0
Limit Szcorcs 0

/ Commanders /

Limit Armcom 0
Limit Armdecom 2
Limit Corcom 0
Limit Cordecom 1

/ Aircraft /

Limit Armatlas 0
Limit Armawac 0
Limit Armbrawl 18
Limit Armca 4
Limit Armcsa 0
Limit Armfig 13
Limit Armhawk 25
Limit Armlance 0
Limit Armpeep 0
Limit Armpnix 15
Limit Armseap 0
Limit Armsehak 0
Limit Armsfig 0
Limit Armthund 4
Limit Corape 18
Limit Corawac 0
Limit Corcsa 0
Limit Corfink 0
Limit Corhunt 0
Limit Corhurc 18
Limit Corseap 0
Limit Corsfig 0
Limit Corshad 6
Limit Cortitan 0
Limit Corvalk 0
Limit Corvamp 25
Limit Corveng 7
Limit Szarmca 0

/ Tanks /

Limit Armah 0
Limit Armanac 7
Limit Armbull 9
Limit Armcroc 3
Limit Armfav 3
Limit Armflash 9
Limit Armjam 0
Limit Armlatnk 9
Limit Armmanni 1
Limit Armmart 10
Limit Armmerl 7
Limit Armmh 7
Limit Armsam 7
Limit Armscab 0
Limit Armseer 0
Limit Armsh 0
Limit Armspid 3
Limit Armstump 9
Limit Armthovr 0
Limit Armyork 6
Limit Corah 0
Limit Corcv 3
Limit Coreter 0
Limit Corfav 3
Limit Corgator 12
Limit Corgol 13
Limit Corlevlr 9
Limit Cormabm 0
Limit Cormart 13
Limit Cormh 7
Limit Cormist 13
Limit Corraid 12
Limit Correap 12
Limit Corseal 3
Limit Corsent 6
Limit Corsh 0
Limit Corsnap 7
Limit Corthovr 0
Limit Cortruck 0
Limit Corvrad 0
Limit Corvroc 10
Limit Szarmaser 0
Limit Szarmjam 3
Limit Szcorcv 0
Limit Szcoreter 3
Limit Szcorspec 0

/ Kbots /

Limit Armamph 15
Limit Armaser 0
Limit Armck 2
Limit Armfark 3
Limit Armfast 13
Limit Armfido 13
Limit Armflea 3
Limit Armham 6
Limit Armjeth 9
Limit Armmark 0
Limit Armmav 13
Limit Armpw 9
Limit Armrock 9
Limit Armsnipe 9
Limit Armspy 0
Limit Armvader 0
Limit Armwar 9
Limit Armzeus 9
Limit Corak 13
Limit Coramph 7
Limit Corcan 13
Limit Corcrash 9
Limit Corfast 13
Limit Corhrk 13
Limit Corkrog 1
Limit Cormort 18
Limit Cornecro 0
Limit Corpyro 13
Limit Corroach 0
Limit Corspec 0
Limit Corspy 0
Limit Corstorm 9
Limit Corsumo 4
Limit Corthud 18
Limit Corvoyr 0
Limit Szarmck 0

/ Ships, Sub, And Water-units /

Limit Armaas 3
Limit Armacsub 2
Limit Armason 0
Limit Armatl 0
Limit Armbats 1
Limit Armcarry 6
Limit Armcrus 7
Limit Armcs 3
Limit Armfhlt 0
Limit Armfrt 7
Limit Armmship 1
Limit Armpt 0
Limit Armroy 3
Limit Armscram 0
Limit Armsjam 1
Limit Armsonar 0
Limit Armsub 0
Limit Armsubk 0
Limit Armtide 0
Limit Armtl 0
Limit Armtship 0
Limit Coracsub 3
Limit Corarch 3
Limit Corason 0
Limit Coratl 0
Limit Corbats 1
Limit Corcarry 7
Limit Corcrus 1
Limit Corfhlt 4
Limit Corfrt 7
Limit Cormship 1
Limit Corpt 0
Limit Corroy 7
Limit Corshark 0
Limit Corsjam 1
Limit Corsonar 0
Limit Corssub 0
Limit Corsub 0
Limit Cortide 0
Limit Cortl 0
Limit Cortship 0
Limit Szarmcs 0

/ Defense /

Limit Armamb 12
Limit Armamd 0
Limit Armanni 1
Limit Armbrtha 0
Limit Armdrag 0
Limit Armfdrag 0
Limit Armflak 9
Limit Armfort 0
Limit Armguard 9
Limit Armhlt 9
Limit Armllt 1
Limit Armrl 18
Limit Armvulc 0
Limit Corbuzz 0
Limit Cordoom 1
Limit Cordrag 0
Limit Corfdrag 0
Limit Corflak 9
Limit Corfort 0
Limit Corhlt 9
Limit Corint 0
Limit Corllt 3
Limit Corplas 2
Limit Corpun 9
Limit Corrl 6
Limit Cortoast 9
Limit Corvipe 2
Limit Zzz 0

/ Resources /

Limit Aaickfus 0
Limit Aaimexx 0
Limit Aaisolrx 0
Limit Armckfus 0
Limit Armestor 0
Limit Armfmkr 0
Limit Armfus 3
Limit Armgeo 1
Limit Armmakr 0
Limit Armmex 6
Limit Armmmkr 2
Limit Armmoho 1
Limit Armmstor 0
Limit Armsolar 7
Limit Armuwes 0
Limit Armuwfus 2
Limit Armuwmex 0
Limit Armuwms 0
Limit Armwin 0
Limit Caickfus 0
Limit Caimexx 0
Limit Caisolrx 0
Limit Corckfus 0
Limit Corestor 0
Limit Corfmkr 0
Limit Corfus 3
Limit Corgeo 1
Limit Cormakr 0
Limit Cormex 24
Limit Cormmkr 2
Limit Cormoho 1
Limit Cormstor 0
Limit Corsolar 7
Limit Coruwes 0
Limit Coruwfus 2
Limit Coruwmex 0
Limit Coruwms 0
Limit Corwin 0

/ Plants /

Limit Armaap 2
Limit Armalab 1
Limit Armap 0
Limit Armasy 1
Limit Armavp 1
Limit Armhp 0
Limit Armlab 0
Limit Armplat 0
Limit Armsy 0
Limit Armvp 0
Limit Coraap 2
Limit Coralab 1
Limit Corap 18
Limit Corasy 1
Limit Coravp 1
Limit Corgant 1
Limit Corhp 0
Limit Corlab 0
Limit Corplat 0
Limit Corsy 0
Limit Corvp 0
Limit Szarmaap 0
Limit Szcoraap 0

/ Specialized Units /

Limit Aaisilo 0
Limit Armarad 0
Limit Armasp 3
Limit Armbeac 0
Limit Armdev1 0
Limit Armemp 0
Limit Armgate 0
Limit Armmine1 0
Limit Armmine2 0
Limit Armmine3 0
Limit Armmine4 0
Limit Armmine5 0
Limit Armmine6 0
Limit Armrad 0
Limit Armscorp 0
Limit Armsilo 0
Limit Armss 0
Limit Armtarg 0
Limit Caisilo 0
Limit Corarad 0
Limit Corasp 3
Limit Corbeac 0
Limit Corbuild 0
Limit Cordev1 0
Limit Corfmd 0
Limit Corgate 0
Limit Cormine1 0
Limit Cormine2 0
Limit Cormine3 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cormine6 0
Limit Corrad 0
Limit Corscorp 0
Limit Corsilo 0
Limit Corss 0
Limit Cortarg 0
Limit Cortron 0

Plan Hard

/ Workers /

Limit Armaca 6
Limit Armack 6
Limit Armacv 6
Limit Armch 1
Limit Armcv 3
Limit Armmlv 0
Limit Coraca 6
Limit Corack 8
Limit Coracv 6
Limit Corca 18
Limit Corch 1
Limit Corck 3
Limit Corcs 5
Limit Cormlv 0
Limit Szarmaca 0
Limit Szarmack 0
Limit Szarmacv 0
Limit Szarmcv 0
Limit Szcoraca 0
Limit Szcorack 0
Limit Szcoracv 0
Limit Szcorca 0
Limit Szcorck 0
Limit Szcorcs 0

/ Commanders /

Limit Armcom 0
Limit Armdecom 3
Limit Corcom 0
Limit Cordecom 2

/ Aircraft /

Limit Armatlas 0
Limit Armawac 0
Limit Armbrawl 24
Limit Armca 5
Limit Armcsa 0
Limit Armfig 18
Limit Armhawk 34
Limit Armlance 0
Limit Armpeep 0
Limit Armpnix 20
Limit Armseap 0
Limit Armsehak 0
Limit Armsfig 0
Limit Armthund 6
Limit Corape 24
Limit Corawac 0
Limit Corcsa 0
Limit Corfink 0
Limit Corhunt 0
Limit Corhurc 24
Limit Corseap 0
Limit Corsfig 0
Limit Corshad 8
Limit Cortitan 0
Limit Corvalk 0
Limit Corvamp 34
Limit Corveng 10
Limit Szarmca 0

/ Tanks /

Limit Armah 0
Limit Armanac 10
Limit Armbull 12
Limit Armcroc 5
Limit Armfav 5
Limit Armflash 12
Limit Armjam 0
Limit Armlatnk 12
Limit Armmanni 2
Limit Armmart 14
Limit Armmerl 10
Limit Armmh 10
Limit Armsam 10
Limit Armscab 0
Limit Armseer 0
Limit Armsh 0
Limit Armspid 5
Limit Armstump 12
Limit Armthovr 0
Limit Armyork 8
Limit Corah 0
Limit Corcv 4
Limit Coreter 0
Limit Corfav 5
Limit Corgator 16
Limit Corgol 18
Limit Corlevlr 12
Limit Cormabm 0
Limit Cormart 18
Limit Cormh 10
Limit Cormist 18
Limit Corraid 16
Limit Correap 16
Limit Corseal 5
Limit Corsent 8
Limit Corsh 0
Limit Corsnap 10
Limit Corthovr 0
Limit Cortruck 0
Limit Corvrad 0
Limit Corvroc 14
Limit Szarmaser 0
Limit Szarmjam 4
Limit Szcorcv 0
Limit Szcoreter 4
Limit Szcorspec 0

/ Kbots /

Limit Armamph 20
Limit Armaser 0
Limit Armck 3
Limit Armfark 5
Limit Armfast 18
Limit Armfido 18
Limit Armflea 5
Limit Armham 9
Limit Armjeth 12
Limit Armmark 0
Limit Armmav 18
Limit Armpw 12
Limit Armrock 12
Limit Armsnipe 12
Limit Armspy 0
Limit Armvader 0
Limit Armwar 12
Limit Armzeus 12
Limit Corak 18
Limit Coramph 10
Limit Corcan 18
Limit Corcrash 12
Limit Corfast 18
Limit Corhrk 18
Limit Corkrog 2
Limit Cormort 24
Limit Cornecro 0
Limit Corpyro 18
Limit Corroach 0
Limit Corspec 0
Limit Corspy 0
Limit Corstorm 12
Limit Corsumo 6
Limit Corthud 24
Limit Corvoyr 0
Limit Szarmck 0

/ Ships, Sub, And Water-units /

Limit Armaas 5
Limit Armacsub 3
Limit Armason 0
Limit Armatl 0
Limit Armbats 2
Limit Armcarry 7
Limit Armcrus 10
Limit Armcs 3
Limit Armfhlt 0
Limit Armfrt 10
Limit Armmship 2
Limit Armpt 0
Limit Armroy 5
Limit Armscram 0
Limit Armsjam 2
Limit Armsonar 0
Limit Armsub 1
Limit Armsubk 1
Limit Armtide 0
Limit Armtl 0
Limit Armtship 0
Limit Coracsub 5
Limit Corarch 5
Limit Corason 0
Limit Coratl 0
Limit Corbats 2
Limit Corcarry 8
Limit Corcrus 2
Limit Corfhlt 6
Limit Corfrt 10
Limit Cormship 2
Limit Corpt 0
Limit Corroy 10
Limit Corshark 0
Limit Corsjam 2
Limit Corsonar 0
Limit Corssub 1
Limit Corsub 1
Limit Cortide 0
Limit Cortl 0
Limit Cortship 0
Limit Szarmcs 0

/ Defense /

Limit Armamb 16
Limit Armamd 0
Limit Armanni 2
Limit Armbrtha 0
Limit Armdrag 0
Limit Armfdrag 0
Limit Armflak 12
Limit Armfort 0
Limit Armguard 12
Limit Armhlt 12
Limit Armllt 2
Limit Armrl 24
Limit Armvulc 0
Limit Corbuzz 0
Limit Cordoom 2
Limit Cordrag 0
Limit Corfdrag 0
Limit Corflak 12
Limit Corfort 0
Limit Corhlt 12
Limit Corint 0
Limit Corllt 4
Limit Corplas 3
Limit Corpun 12
Limit Corrl 8
Limit Cortoast 12
Limit Corvipe 3
Limit Zzz 0

/ Resources /

Limit Aaickfus 1
Limit Aaimexx 0
Limit Aaisolrx 1
Limit Armckfus 0
Limit Armestor 1
Limit Armfmkr 0
Limit Armfus 4
Limit Armgeo 2
Limit Armmakr 0
Limit Armmex 8
Limit Armmmkr 3
Limit Armmoho 2
Limit Armmstor 0
Limit Armsolar 10
Limit Armuwes 1
Limit Armuwfus 3
Limit Armuwmex 0
Limit Armuwms 1
Limit Armwin 0
Limit Caickfus 1
Limit Caimexx 0
Limit Caisolrx 1
Limit Corckfus 0
Limit Corestor 1
Limit Corfmkr 0
Limit Corfus 4
Limit Corgeo 2
Limit Cormakr 0
Limit Cormex 32
Limit Cormmkr 3
Limit Cormoho 2
Limit Cormstor 0
Limit Corsolar 10
Limit Coruwes 1
Limit Coruwfus 3
Limit Coruwmex 0
Limit Coruwms 0
Limit Corwin 0

/ Plants /

Limit Armaap 3
Limit Armalab 2
Limit Armap 1
Limit Armasy 2
Limit Armavp 2
Limit Armhp 1
Limit Armlab 1
Limit Armplat 0
Limit Armsy 1
Limit Armvp 1
Limit Coraap 3
Limit Coralab 2
Limit Corap 24
Limit Corasy 2
Limit Coravp 2
Limit Corgant 2
Limit Corhp 1
Limit Corlab 1
Limit Corplat 0
Limit Corsy 1
Limit Corvp 1
Limit Szarmaap 0
Limit Szcoraap 0

/ Specialized Units /

Limit Aaisilo 1
Limit Armarad 0
Limit Armasp 4
Limit Armbeac 0
Limit Armdev1 0
Limit Armemp 0
Limit Armgate 0
Limit Armmine1 0
Limit Armmine2 0
Limit Armmine3 0
Limit Armmine4 0
Limit Armmine5 0
Limit Armmine6 0
Limit Armrad 0
Limit Armscorp 0
Limit Armsilo 0
Limit Armss 0
Limit Armtarg 1
Limit Caisilo 1
Limit Corarad 0
Limit Corasp 4
Limit Corbeac 0
Limit Corbuild 0
Limit Cordev1 0
Limit Corfmd 0
Limit Corgate 0
Limit Cormine1 0
Limit Cormine2 0
Limit Cormine3 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cormine6 0
Limit Corrad 0
Limit Corscorp 0
Limit Corsilo 0
Limit Corss 1
Limit Cortarg 0
Limit Cortron 0
