// sludge AI profile
// This is a slightly modifided version of Switeck's Metal Land Map ai v11.4
// Weights
limit AATIDE 0
limit AEXXEC 6
limit AFUZY 2
limit ARMARCH 2
limit ARMCYBR 4
limit ARMDOGL 8
limit ARMDREAD 4
limit ARMGUSS 0
limit ARMKAM 4
limit ARMMIN 0
limit ARMMOSQU 0
limit ARMREP 0
limit ARMSPAR 0
limit ASNIPER 4
limit EMPATH 0
limit SPOOFER 0
limit TURNER 10
limit WRAITH 1

weight CSLICER 1
weight ROLLER 1
weight CKMMKR 1
weight CPOWER 0.4
limit CJAMFUSR 1
limit CKMMKR 1
limit CMBOX 4
limit CORARTV 4
limit CORDEV 1
limit CORDOGL 8
limit CORFRL 0
limit CORLOCUS 0
limit CORSUMOT 2
limit CORTHUG 6
limit CORWING 4
limit CORZAP 0
limit CPOWER 1
limit CRNNS 0
limit CSLICER 8
limit CSPEED 4
limit DCONDORE 0
limit PRIEST 0
limit ROLLER 10
limit SOULREAVER 1

// ARM

Limit ARMATLAS 0
Limit ARMFIG 16
Limit ARMPEEP 0
Limit ARMTHUND 0

Limit ARMAWAC 0
Limit ARMBRAWL 20
Limit ARMHAWK 60
Limit ARMLANCE 0
Limit ARMPNIX 0

Limit ARMANAC 3
Limit ARMAH 8
Limit ARMMH 6
Limit ARMSH 0
Limit ARMTHOVR 0

Limit ARMFLEA 0
Limit ARMHAM 6
Limit ARMJETH 0
Limit ARMPW 0
Limit ARMROCK 16
Limit ARMWAR 0

Limit ARMAMPH 16
Limit ARMASER 0
Limit ARMCOM 0
Limit ARMDECOM 2
Limit ARMFAST 0
Limit ARMFIDO 0
Limit ARMMARK 0
Limit ARMMAV 12
Limit ARMRECTR 0
Limit ARMSCORP 0
Limit ARMSEER 0
Limit ARMSNIPE 3
Limit ARMSPY 0
Limit ARMVADER 0
Limit ARMZEUS 0

Limit ARMFAV 0
Limit ARMFLASH 14
Limit ARMMLV 0
Limit ARMSAM 24
Limit ARMSTUMP 0

Limit ARMBULL 6
Limit ARMCROC 0
Limit ARMJAM 0
Limit ARMLATNK 10
Limit ARMMANNI 0
Limit ARMMART 6
Limit ARMMERL 12
Limit ARMSCAB 0
Limit ARMSPID 0
Limit ARMYORK 0

Limit ARMDRAG 0
Limit ARMESTOR 1
Limit ARMGEO 10
Limit ARMGUARD 12
Limit ARMHLT 6
Limit ARMLLT 0
Limit ARMMAKR 0
Limit ARMMEX 24
Limit ARMMSTOR 0
Limit ARMRAD 0
Limit ARMRL 30
Limit ARMSOLAR 30
Limit ARMWIN 0

Limit ARMANNI 0
Limit ARMAMB 0
Limit ARMAMD 0
Limit ARMARAD 0
Limit ARMASP 4
Limit ARMBEAC 0
Limit ARMBRTHA 5
Limit ARMCKFUS 0
Limit ARMDEV1 0
Limit ARMEMP 0
Limit ARMFLAK 24
Limit ARMFORT 0
Limit ARMFUS 4
Limit ARMGATE 0
Limit ARMMMKR 0
Limit ARMMOHO 14
Limit ARMSILO 0
Limit ARMTARG 1
Limit ARMVULC 1

Limit ARMFDRAG 0
Limit ARMFHLT 0
Limit ARMFMKR 0
Limit ARMFRT 0
Limit ARMSONAR 0
Limit ARMTIDE 0
Limit ARMTL 0
Limit ARMUWES 0
Limit ARMUWMEX 0
Limit ARMUWMS 0

Limit ARMSY 0

//CORE

Limit CORFINK 0
Limit CORSHAD 0
Limit CORVENG 20

Limit CORAPE 30
Limit CORAWAC 0
Limit CORBVALK 0
Limit CORHURC 0
Limit CORTITAN 0
Limit CORVALK 0
Limit CORVAMP 50

Limit CORAH 8
Limit CORMH 6
Limit CORSH 0
Limit CORSNAP 3
Limit CORTHOVR 0

Limit CORAK 0
Limit CORCRASH 10
Limit CORSTORM 16
Limit CORTHUD 8

Limit CORAMPH 0
Limit CORCAN 8
Limit CORCOM 0
Limit CORDECOM 2
Limit CORFAST 0
Limit CORKROG 20
Limit CORHRK 12
Limit CORMORT 12
Limit CORNECRO 0
Limit CORPYRO 0
Limit CORROACH 0
Limit CORSCORP 5
Limit CORSNIPE 0
Limit CORSPEC 0
Limit CORSPY 0
Limit CORSUMO 12
Limit CORVOYR 0

Limit CORFAV 0
Limit CORFING 0
Limit CORGATOR 10
Limit CORLEVLR 0
Limit CORMIST 24
Limit CORMLV 0
Limit CORRAID 0
Limit CORTRUCK 0

Limit CORETER 0
Limit CORGOL 16
Limit CORMABM 0
Limit CORMART 0
Limit CORREAP 0
Limit CORSEAL 0
Limit CORSENT 0
Limit CORVRAD 0
Limit CORVROC 10

Limit CORBUILD 0
Limit CORDRAG 0
Limit CORESTOR 1
Limit CORFDRAG 0
Limit CORGEO 10
Limit CORHLT 5
Limit CORLLT 0
Limit CORMAKR 0
Limit CORMEX 26
Limit CORMSTOR 0
Limit CORPUN 6
Limit CORRAD 0
Limit CORRL 26
Limit CORSOLAR 32
Limit CORVIPE 0
Limit CORWIN 0

Limit CORARAD 0
Limit CORASP 3
Limit CORBEAC 0
Limit CORBUZZ 1
Limit CORCKFUS 0
Limit CORDEV1 0
Limit CORDOOM 4
Limit CORFMD 0
Limit CORFLAK 22
Limit CORFORT 0
Limit CORFUS 4
Limit CORGATE 0
Limit CORINT 7
Limit CORMMKR 0
Limit CORMOHO 16
Limit CORSILO 0
Limit CORTARG 1
Limit CORTOAST 7
Limit CORTRON 0

Limit CORFHLT 0
Limit CORFMKR 0
Limit CORFRT 0
Limit CORSONAR 0
Limit CORTIDE 0
Limit CORTL 0
Limit CORUWES 0
Limit CORUWMEX 0
Limit CORUWMS 0

Limit CORSY 0

// zeroing weights
Weight ARMDRAG 0
Weight ARMLLT 0
Weight ARMMSTOR 0
Weight ARMRAD 0
Weight ARMWIN 0

Weight ARMSONAR 0
Weight ARMTIDE 0
Weight ARMTL 0
Weight ARMUWES 0
Weight ARMUWMEX 0
Weight ARMUWMS 0

Weight ARMSY 0

Weight CORDRAG 0
Weight CORLLT 0
Weight CORMSTOR 0
Weight CORRAD 0
Weight CORVIPE 0
Weight CORWIN 0

Weight CORSONAR 0
Weight CORTIDE 0
Weight CORTL 0
Weight CORUWES 0
Weight CORUWMEX 0
Weight CORUWMS 0

Weight CORSY 0

Weight ARM 0.1
Weight CORE 0.1

plan easy

Limit ARMAAP 0
Limit ARMALAB 1
Limit ARMAVP 1
Limit ARMAP 0
Limit ARMHP 0
Limit ARMLAB 1
Limit ARMVP 1
Limit ARMAIVP 0

Limit ARMBRTHA 0
Limit NUKEA 0
Limit AAIEMP 0

Limit ARMACA 0
Limit ARMACK 0
Limit ARMACV 1
Limit ARMCA 0
Limit ARMCK 1
Limit ARMCH 0
Limit ARMCV 1

Limit CORAAP 0
Limit CORALAB 1
Limit CORAVP 1
Limit CORAP 0
Limit CORGANT 0
Limit CORHP 0
Limit CORLAB 1
Limit CORVP 1
Limit CAIGANT 0

Limit CORINT 0
Limit NUKEC 0
Limit CAITRON 0

Limit CORACA 0
Limit CORACK 0
Limit CORACV 1
Limit CORCA 0
Limit CORCK 1
Limit CORCH 0
Limit CORCV 1
Limit level2 20
Limit level3 4

plan medium

Limit ARMAAP 3
Limit ARMALAB 2
Limit ARMAVP 3
Limit ARMAP 1
Limit ARMHP 1
Limit ARMLAB 2
Limit ARMVP 3
Limit ARMAIVP 1

Limit ARMBRTHA 2
Limit NUKEA 1
Limit AAIEMP 1

Limit ARMACA 3
Limit ARMACK 2
Limit ARMACV 3
Limit ARMCA 2
Limit ARMCK 2
Limit ARMCH 3
Limit ARMCV 3

Limit CORAAP 2
Limit CORALAB 3
Limit CORAVP 2
Limit CORAP 1
Limit CORGANT 1
Limit CORHP 1
Limit CORLAB 3
Limit CORVP 2
Limit CAIGANT 1

Limit CORINT 2
Limit NUKEC 1
Limit CAITRON 1

Limit CORACA 2
Limit CORACK 3
Limit CORACV 2
Limit CORCA 2
Limit CORCK 3
Limit CORCH 3
Limit CORCV 2

plan hard

Limit ARMAAP 10
Limit ARMALAB 4
Limit ARMAVP 2
Limit ARMAP 2
Limit ARMHP 1
Limit ARMLAB 3
Limit ARMVP 4
Limit ARMAIVP 4

Limit ARMBRTHA 5
Limit NUKEA 3
Limit AAIEMP 1

Limit ARMACA 4
Limit ARMACK 2
Limit ARMACV 4
Limit ARMCA 12
Limit ARMCK 2
Limit ARMCH 3
Limit ARMCV 4

Limit CORAAP 8
Limit CORALAB 4
Limit CORAVP 2
Limit CORAP 2
Limit CORGANT 3
Limit CORHP 1
Limit CORLAB 4
Limit CORVP 2
Limit CAIGANT 4

Limit CORINT 7
Limit NUKEC 3
Limit CAITRON 1

Limit CORACA 3
Limit CORACK 4
Limit CORACV 3
Limit CORCA 10
Limit CORCK 4
Limit CORCH 3
Limit CORCV 2
