/
-Date: 03-13-2001
-Auth: Sage_Z
/ Defense /

Weight Armamd 0
Weight Armanni 0
Weight Armdrag 0
Weight Armbrtha 0.7
Weight Armguard 4
Weight Armhlt 0
Weight Armllt 0
Weight Corrl 4
Weight Cordoom 0.1
Weight Cordrag 0
Weight Corpun 4
Weight Armrl 6
Weight Corllt 0
Weight Corhlt 0
Weight Corint 1.1
Weight Armfort 0
Weight Armfdrag 0
Weight Armamb 0
Weight Armvulc 0.05
Weight Corfdrag 0
Weight Corbuzz 0.05
Weight Cortoast 0
Weight Corvipe 0
Weight Corflak 1.2
Weight Corfort 0
Weight Armflak 3
Weight Corplas 0
Weight Zzz 0

/ Resources /

Weight Armestor 0.4
Weight Armfus 9
Weight Armgeo 9
Weight Armmakr 0
Weight Armmex 1.1
Weight Armmoho 1.1
Weight Corsolar 8
Weight Cormex 1.5
Weight Cormoho 1.5
Weight Armmstor 0
Weight Corwin 0
Weight Corfus 8
Weight Corgeo 5
Weight Corestor 1.2
Weight Cormstor 0
Weight Cormakr 0
Weight Armwin 0
Weight Armsolar 8
Weight Armuwms 0
Weight Armfmkr 0
Weight Armmmkr 0
Weight Coruwmex 0
Weight Armuwes 0
Weight Armuwmex 0
Weight Corckfus 0
Weight Cormmkr 0
Weight Coruwms 0
Weight Coruwfus 0
Weight Armuwfus 0
Weight Coruwes 0
Weight Corfmkr 0
Weight Armckfus 0

/ Plants /

Weight Armalab 7
Weight Armap 3
Weight Armasy 0
Weight Armaap 0.2
Weight Armvp 8
Weight Armavp 0.2
Weight Coralab 9
Weight Armlab 8
Weight Armsy 0
Weight Corsy 0
Weight Corvp 8
Weight Coravp 0.1
Weight Corap 3
Weight Corasy 0
Weight Corlab 8
Weight Coraap 0.2
Weight Corplat 0
Weight Armplat 0
Weight Armhp 0.05
Weight Corgant 9
Weight Corhp 0.05
Weight Szarmaap 2
Weight Szcoraap 2

/ Specialized Units /

Weight Armarad 0
Weight Armasp 0.5
Weight Armgate 0
Weight Corsilo 0
Weight Corrad 0
Weight Corgate 0
Weight Corfmd 0
Weight Corbuild 0
Weight Corarad 0
Weight Corasp 0.2
Weight Armsilo 0
Weight Armrad 0
Weight Armtarg 0
Weight Armdev1 0
Weight Cormine1 0
Weight Armmine3 0
Weight Armmine4 0
Weight Armmine5 0
Weight Armscorp 0
Weight Corscorp 0
Weight Armmine1 0
Weight Cordev1 0
Weight Armbeac 0
Weight Cortarg 0
Weight Corbeac 0
Weight Armmine2 0
Weight Armmine6 0
Weight Armss 0.6
Weight Cormine3 0
Weight Cormine6 0
Weight Cormine4 0
Weight Cormine5 0
Weight Cormine2 0
Weight Corss 2
Weight Cortron 0
Weight Armemp 0

Plan Easy

/ Workers /

Limit Armack 0
Limit Armacv 2
Limit Coraca 2
Limit Armaca 2
Limit Armcv 2
Limit Corcs 1
Limit Corca 4
Limit Corack 2
Limit Coracv 3
Limit Corck 1
Limit Armch 1
Limit Armmlv 0
Limit Corch 1
Limit Cormlv 0
Limit Szarmacv 1
Limit Szarmcv 1
Limit Szcorck 1
Limit Szcoracv 1
Limit Szcoraca 1
Limit Szarmaca 1
Limit Szarmack 1
Limit Szcorack 1
Limit Szcorca 1
Limit Szcorcs 0

/ Commanders /

Limit Armcom 0
Limit Corcom 0
Limit Cordecom 1
Limit Armdecom 1

/ Aircraft /

Limit Armbrawl 2
Limit Armca 5
Limit Armfig 10
Limit Armatlas 1
Limit Armhawk 15
Limit Armlance 0
Limit Cortitan 0
Limit Armpeep 4
Limit Armpnix 2
Limit Corvalk 0
Limit Armthund 0
Limit Corshad 0
Limit Corfink 0
Limit Corvamp 0
Limit Corveng 0
Limit Corape 0
Limit Corhurc 0
Limit Armseap 8
Limit Armsehak 0
Limit Corcsa 2
Limit Armsfig 10
Limit Corawac 0
Limit Armawac 1
Limit Armcsa 3
Limit Corseap 0
Limit Corsfig 0
Limit Corhunt 0
Limit Szarmca 2

/ Tanks /

Limit Armcroc 0
Limit Armfav 0
Limit Armflash 12
Limit Armjam 1
Limit Armmart 2
Limit Armmerl 8
Limit Cormart 0
Limit Cormist 10
Limit Cortruck 0
Limit Correap 0
Limit Corvrad 0
Limit Corvroc 4
Limit Armstump 0
Limit Corcv 1
Limit Corseal 0
Limit Corraid 4
Limit Corgator 5
Limit Corgol 10
Limit Coreter 0
Limit Armsam 10
Limit Armseer 1
Limit Corfav 0
Limit Armspid 3
Limit Armbull 4
Limit Armmh 3
Limit Armlatnk 6
Limit Armah 4
Limit Armthovr 0
Limit Corah 5
Limit Armmanni 0
Limit Corsh 0
Limit Armanac 1
Limit Armsh 0
Limit Corthovr 0
Limit Corlevlr 0
Limit Corsnap 2
Limit Cormh 4
Limit Corsent 2
Limit Armyork 1
Limit Cormabm 0
Limit Szcorcv 2
Limit Szarmaser 2
Limit Szcoreter 2
Limit Szcorspec 2
Limit Szarmjam 2

/ Kbots /

Limit Armaser 0
Limit Armfast 0
Limit Armfido 4
Limit Armvader 2
Limit Corak 0
Limit Armham 1
Limit Armjeth 2
Limit Armck 0
Limit Corthud 5
Limit Corstorm 8
Limit Corroach 0
Limit Corcan 8
Limit Corpyro 1
Limit Armrock 5
Limit Armzeus 0
Limit Corspec 0
Limit Corcrash 5
Limit Armpw 1
Limit Armmav 10
Limit Armwar 0
Limit Armmark 0
Limit Corspy 0
Limit Armspy 0
Limit Cormort 4
Limit Corvoyr 0
Limit Corkrog 15
Limit Corfast 0
Limit Coramph 0
Limit Corsumo 4
Limit Armamph 3
Limit Corhrk 10
Limit Armsnipe 0
Limit Armflea 1
Limit Armfark 0
Limit Cornecro 0
Limit Szarmck 1

/ Ships, Sub, And Water-units /

Limit Armtl 0
Limit Armcarry 2
Limit Armcrus 4
Limit Armcs 3
Limit Armtship 0
Limit Corcrus 4
Limit Armsubk 0
Limit Corsonar 0
Limit Cormship 1
Limit Cortl 0
Limit Cortide 5
Limit Corbats 3
Limit Armtide 0
Limit Corsub 2
Limit Armmship 1
Limit Cortship 0
Limit Corroy 3
Limit Armpt 5
Limit Armsub 0
Limit Corshark 0
Limit Corpt 5
Limit Armroy 2
Limit Armbats 0
Limit Corcarry 2
Limit Armsonar 0
Limit Armaas 3
Limit Coracsub 1
Limit Coratl 1
Limit Armfrt 5
Limit Armacsub 1
Limit Armatl 1
Limit Armason 0
Limit Armscram 0
Limit Corarch 2
Limit Armsjam 1
Limit Corason 0
Limit Corsjam 0
Limit Corfhlt 0
Limit Corfrt 5
Limit Armfhlt 0
Limit Corssub 2
Limit Szarmcs 0

/ Defense /

Limit Armamd 0
Limit Armanni 0
Limit Armdrag 0
Limit Armbrtha 3
Limit Armguard 4
Limit Armhlt 3
Limit Armllt 4
Limit Corrl 12
Limit Cordoom 1
Limit Cordrag 0
Limit Corpun 5
Limit Armrl 18
Limit Corllt 0
Limit Corhlt 0
Limit Corint 3
Limit Armfort 0
Limit Armfdrag 0
Limit Armamb 0
Limit Armvulc 0
Limit Corfdrag 0
Limit Corbuzz 0
Limit Cortoast 0
Limit Corvipe 0
Limit Corflak 10
Limit Corfort 0
Limit Armflak 13
Limit Corplas 0
Limit Zzz 0

/ Resources /

Limit Armestor 0
Limit Armfus 1
Limit Armgeo 5
Limit Armmakr 0
Limit Armmex 10
Limit Armmoho 5
Limit Corsolar 2
Limit Cormex 10
Limit Cormoho 6
Limit Armmstor 0
Limit Corwin 5
Limit Corfus 1
Limit Corgeo 5
Limit Corestor 0
Limit Cormstor 0
Limit Cormakr 0
Limit Armwin 5
Limit Armsolar 2
Limit Armuwms 0
Limit Armfmkr 0
Limit Armmmkr 0
Limit Coruwmex 2
Limit Armuwes 0
Limit Armuwmex 0
Limit Corckfus 0
Limit Cormmkr 0
Limit Coruwms 0
Limit Coruwfus 0
Limit Armuwfus 0
Limit Coruwes 0
Limit Corfmkr 0
Limit Armckfus 0

/ Plants /

Limit Armalab 3
Limit Armap 0
Limit Armasy 1
Limit Armaap 3
Limit Armvp 1
Limit Armavp 1
Limit Coralab 6
Limit Armlab 2
Limit Armsy 0
Limit Corsy 1
Limit Corvp 1
Limit Coravp 1
Limit Corap 0
Limit Corasy 1
Limit Corlab 2
Limit Coraap 8
Limit Corplat 1
Limit Armplat 1
Limit Armhp 1
Limit Corgant 10
Limit Corhp 1
Limit Szarmaap 0
Limit Szcoraap 2

/ Specialized Units /

Limit Armarad 0
Limit Armasp 0
Limit Armgate 0
Limit Corsilo 0
Limit Corrad 0
Limit Corgate 0
Limit Corfmd 0
Limit Corbuild 0
Limit Corarad 0
Limit Corasp 1
Limit Armsilo 0
Limit Armrad 0
Limit Armtarg 0
Limit Armdev1 0
Limit Cormine1 0
Limit Armmine3 0
Limit Armmine4 0
Limit Armmine5 0
Limit Armscorp 0
Limit Corscorp 2
Limit Armmine1 0
Limit Cordev1 0
Limit Armbeac 0
Limit Cortarg 0
Limit Corbeac 0
Limit Armmine2 0
Limit Armmine6 0
Limit Armss 1
Limit Cormine3 0
Limit Cormine6 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cormine2 0
Limit Corss 2
Limit Cortron 0
Limit Armemp 0

Plan Medium

/ Workers /

Limit Armack 0
Limit Armacv 3
Limit Coraca 3
Limit Armaca 3
Limit Armcv 3
Limit Corcs 1
Limit Corca 6
Limit Corack 3
Limit Coracv 5
Limit Corck 2
Limit Armch 1
Limit Armmlv 0
Limit Corch 2
Limit Cormlv 0
Limit Szarmacv 2
Limit Szarmcv 2
Limit Szcorck 2
Limit Szcoracv 2
Limit Szcoraca 2
Limit Szarmaca 2
Limit Szarmack 2
Limit Szcorack 2
Limit Szcorca 2
Limit Szcorcs 0

/ Commanders /

Limit Armcom 0
Limit Corcom 0
Limit Cordecom 1
Limit Armdecom 1

/ Aircraft /

Limit Armbrawl 3
Limit Armca 7
Limit Armfig 15
Limit Armatlas 1
Limit Armhawk 22
Limit Armlance 0
Limit Cortitan 0
Limit Armpeep 6
Limit Armpnix 3
Limit Corvalk 0
Limit Armthund 0
Limit Corshad 0
Limit Corfink 0
Limit Corvamp 0
Limit Corveng 0
Limit Corape 0
Limit Corhurc 0
Limit Armseap 12
Limit Armsehak 0
Limit Corcsa 3
Limit Armsfig 15
Limit Corawac 0
Limit Armawac 2
Limit Armcsa 4
Limit Corseap 0
Limit Corsfig 0
Limit Corhunt 0
Limit Szarmca 3

/ Tanks /

Limit Armcroc 0
Limit Armfav 0
Limit Armflash 18
Limit Armjam 2
Limit Armmart 3
Limit Armmerl 12
Limit Cormart 0
Limit Cormist 15
Limit Cortruck 0
Limit Correap 0
Limit Corvrad 0
Limit Corvroc 6
Limit Armstump 0
Limit Corcv 2
Limit Corseal 0
Limit Corraid 6
Limit Corgator 7
Limit Corgol 15
Limit Coreter 0
Limit Armsam 15
Limit Armseer 1
Limit Corfav 0
Limit Armspid 4
Limit Armbull 6
Limit Armmh 5
Limit Armlatnk 9
Limit Armah 6
Limit Armthovr 0
Limit Corah 7
Limit Armmanni 0
Limit Corsh 0
Limit Armanac 2
Limit Armsh 0
Limit Corthovr 0
Limit Corlevlr 0
Limit Corsnap 3
Limit Cormh 6
Limit Corsent 3
Limit Armyork 2
Limit Cormabm 0
Limit Szcorcv 3
Limit Szarmaser 3
Limit Szcoreter 3
Limit Szcorspec 3
Limit Szarmjam 3

/ Kbots /

Limit Armaser 0
Limit Armfast 0
Limit Armfido 6
Limit Armvader 3
Limit Corak 0
Limit Armham 2
Limit Armjeth 3
Limit Armck 0
Limit Corthud 7
Limit Corstorm 12
Limit Corroach 0
Limit Corcan 12
Limit Corpyro 2
Limit Armrock 7
Limit Armzeus 0
Limit Corspec 0
Limit Corcrash 7
Limit Armpw 1
Limit Armmav 15
Limit Armwar 0
Limit Armmark 0
Limit Corspy 0
Limit Armspy 0
Limit Cormort 6
Limit Corvoyr 0
Limit Corkrog 22
Limit Corfast 0
Limit Coramph 0
Limit Corsumo 6
Limit Armamph 4
Limit Corhrk 15
Limit Armsnipe 0
Limit Armflea 1
Limit Armfark 0
Limit Cornecro 0
Limit Szarmck 2

/ Ships, Sub, And Water-units /

Limit Armtl 0
Limit Armcarry 3
Limit Armcrus 6
Limit Armcs 4
Limit Armtship 0
Limit Corcrus 6
Limit Armsubk 0
Limit Corsonar 0
Limit Cormship 2
Limit Cortl 0
Limit Cortide 7
Limit Corbats 4
Limit Armtide 0
Limit Corsub 3
Limit Armmship 1
Limit Cortship 0
Limit Corroy 4
Limit Armpt 7
Limit Armsub 0
Limit Corshark 0
Limit Corpt 7
Limit Armroy 3
Limit Armbats 0
Limit Corcarry 3
Limit Armsonar 0
Limit Armaas 5
Limit Coracsub 1
Limit Coratl 2
Limit Armfrt 7
Limit Armacsub 1
Limit Armatl 1
Limit Armason 0
Limit Armscram 0
Limit Corarch 3
Limit Armsjam 2
Limit Corason 0
Limit Corsjam 0
Limit Corfhlt 0
Limit Corfrt 7
Limit Armfhlt 0
Limit Corssub 3
Limit Szarmcs 0

/ Defense /

Limit Armamd 0
Limit Armanni 0
Limit Armdrag 0
Limit Armbrtha 4
Limit Armguard 6
Limit Armhlt 4
Limit Armllt 6
Limit Corrl 18
Limit Cordoom 1
Limit Cordrag 0
Limit Corpun 7
Limit Armrl 27
Limit Corllt 0
Limit Corhlt 0
Limit Corint 4
Limit Armfort 0
Limit Armfdrag 0
Limit Armamb 0
Limit Armvulc 0
Limit Corfdrag 0
Limit Corbuzz 0
Limit Cortoast 0
Limit Corvipe 0
Limit Corflak 15
Limit Corfort 0
Limit Armflak 19
Limit Corplas 0
Limit Zzz 0

/ Resources /

Limit Armestor 0
Limit Armfus 2
Limit Armgeo 7
Limit Armmakr 0
Limit Armmex 15
Limit Armmoho 7
Limit Corsolar 3
Limit Cormex 15
Limit Cormoho 9
Limit Armmstor 0
Limit Corwin 7
Limit Corfus 2
Limit Corgeo 7
Limit Corestor 0
Limit Cormstor 0
Limit Cormakr 0
Limit Armwin 7
Limit Armsolar 3
Limit Armuwms 0
Limit Armfmkr 0
Limit Armmmkr 0
Limit Coruwmex 3
Limit Armuwes 0
Limit Armuwmex 0
Limit Corckfus 0
Limit Cormmkr 0
Limit Coruwms 0
Limit Coruwfus 0
Limit Armuwfus 0
Limit Coruwes 0
Limit Corfmkr 0
Limit Armckfus 0

/ Plants /

Limit Armalab 5
Limit Armap 0
Limit Armasy 1
Limit Armaap 5
Limit Armvp 2
Limit Armavp 2
Limit Coralab 9
Limit Armlab 3
Limit Armsy 0
Limit Corsy 1
Limit Corvp 2
Limit Coravp 2
Limit Corap 0
Limit Corasy 1
Limit Corlab 3
Limit Coraap 12
Limit Corplat 1
Limit Armplat 1
Limit Armhp 1
Limit Corgant 15
Limit Corhp 1
Limit Szarmaap 0
Limit Szcoraap 3

/ Specialized Units /

Limit Armarad 0
Limit Armasp 0
Limit Armgate 0
Limit Corsilo 0
Limit Corrad 0
Limit Corgate 0
Limit Corfmd 0
Limit Corbuild 0
Limit Corarad 0
Limit Corasp 1
Limit Armsilo 0
Limit Armrad 0
Limit Armtarg 0
Limit Armdev1 0
Limit Cormine1 0
Limit Armmine3 0
Limit Armmine4 0
Limit Armmine5 0
Limit Armscorp 0
Limit Corscorp 3
Limit Armmine1 0
Limit Cordev1 0
Limit Armbeac 0
Limit Cortarg 0
Limit Corbeac 0
Limit Armmine2 0
Limit Armmine6 0
Limit Armss 1
Limit Cormine3 0
Limit Cormine6 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cormine2 0
Limit Corss 3
Limit Cortron 0
Limit Armemp 0

Plan Hard

/ Workers /

Limit Armack 1
Limit Armacv 4
Limit Coraca 4
Limit Armaca 4
Limit Armcv 4
Limit Corcs 2
Limit Corca 8
Limit Corack 4
Limit Coracv 7
Limit Corck 3
Limit Armch 2
Limit Armmlv 0
Limit Corch 3
Limit Cormlv 0
Limit Szarmacv 3
Limit Szarmcv 3
Limit Szcorck 3
Limit Szcoracv 3
Limit Szcoraca 3
Limit Szarmaca 3
Limit Szarmack 3
Limit Szcorack 3
Limit Szcorca 3
Limit Szcorcs 0

/ Commanders /

Limit Armcom 0
Limit Corcom 0
Limit Cordecom 2
Limit Armdecom 2

/ Aircraft /

Limit Armbrawl 5
Limit Armca 10
Limit Armfig 20
Limit Armatlas 2
Limit Armhawk 30
Limit Armlance 0
Limit Cortitan 0
Limit Armpeep 9
Limit Armpnix 5
Limit Corvalk 0
Limit Armthund 0
Limit Corshad 0
Limit Corfink 0
Limit Corvamp 0
Limit Corveng 0
Limit Corape 0
Limit Corhurc 0
Limit Armseap 16
Limit Armsehak 0
Limit Corcsa 4
Limit Armsfig 20
Limit Corawac 0
Limit Armawac 3
Limit Armcsa 6
Limit Corseap 0
Limit Corsfig 0
Limit Corhunt 0
Limit Szarmca 5

/ Tanks /

Limit Armcroc 0
Limit Armfav 0
Limit Armflash 25
Limit Armjam 3
Limit Armmart 4
Limit Armmerl 16
Limit Cormart 0
Limit Cormist 20
Limit Cortruck 0
Limit Correap 0
Limit Corvrad 0
Limit Corvroc 8
Limit Armstump 0
Limit Corcv 3
Limit Corseal 0
Limit Corraid 8
Limit Corgator 10
Limit Corgol 20
Limit Coreter 0
Limit Armsam 20
Limit Armseer 2
Limit Corfav 0
Limit Armspid 6
Limit Armbull 8
Limit Armmh 7
Limit Armlatnk 12
Limit Armah 8
Limit Armthovr 0
Limit Corah 10
Limit Armmanni 0
Limit Corsh 0
Limit Armanac 3
Limit Armsh 0
Limit Corthovr 0
Limit Corlevlr 0
Limit Corsnap 5
Limit Cormh 8
Limit Corsent 5
Limit Armyork 3
Limit Cormabm 0
Limit Szcorcv 5
Limit Szarmaser 5
Limit Szcoreter 5
Limit Szcorspec 5
Limit Szarmjam 5

/ Kbots /

Limit Armaser 0
Limit Armfast 0
Limit Armfido 8
Limit Armvader 5
Limit Corak 0
Limit Armham 3
Limit Armjeth 4
Limit Armck 1
Limit Corthud 10
Limit Corstorm 16
Limit Corroach 0
Limit Corcan 16
Limit Corpyro 3
Limit Armrock 10
Limit Armzeus 1
Limit Corspec 0
Limit Corcrash 10
Limit Armpw 2
Limit Armmav 20
Limit Armwar 0
Limit Armmark 1
Limit Corspy 0
Limit Armspy 1
Limit Cormort 8
Limit Corvoyr 0
Limit Corkrog 30
Limit Corfast 0
Limit Coramph 0
Limit Corsumo 8
Limit Armamph 6
Limit Corhrk 20
Limit Armsnipe 0
Limit Armflea 2
Limit Armfark 0
Limit Cornecro 0
Limit Szarmck 3

/ Ships, Sub, And Water-units /

Limit Armtl 0
Limit Armcarry 4
Limit Armcrus 8
Limit Armcs 6
Limit Armtship 0
Limit Corcrus 8
Limit Armsubk 0
Limit Corsonar 0
Limit Cormship 3
Limit Cortl 0
Limit Cortide 10
Limit Corbats 6
Limit Armtide 0
Limit Corsub 4
Limit Armmship 2
Limit Cortship 0
Limit Corroy 6
Limit Armpt 10
Limit Armsub 0
Limit Corshark 0
Limit Corpt 10
Limit Armroy 4
Limit Armbats 0
Limit Corcarry 4
Limit Armsonar 0
Limit Armaas 7
Limit Coracsub 2
Limit Coratl 3
Limit Armfrt 10
Limit Armacsub 2
Limit Armatl 2
Limit Armason 0
Limit Armscram 0
Limit Corarch 4
Limit Armsjam 3
Limit Corason 0
Limit Corsjam 0
Limit Corfhlt 0
Limit Corfrt 10
Limit Armfhlt 0
Limit Corssub 4
Limit Szarmcs 0

/ Defense /

Limit Armamd 0
Limit Armanni 0
Limit Armdrag 0
Limit Armbrtha 6
Limit Armguard 9
Limit Armhlt 6
Limit Armllt 9
Limit Corrl 24
Limit Cordoom 2
Limit Cordrag 0
Limit Corpun 10
Limit Armrl 36
Limit Corllt 0
Limit Corhlt 0
Limit Corint 6
Limit Armfort 0
Limit Armfdrag 0
Limit Armamb 0
Limit Armvulc 1
Limit Corfdrag 0
Limit Corbuzz 1
Limit Cortoast 0
Limit Corvipe 0
Limit Corflak 20
Limit Corfort 0
Limit Armflak 26
Limit Corplas 0
Limit Zzz 0

/ Resources /

Limit Armestor 1
Limit Armfus 3
Limit Armgeo 10
Limit Armmakr 0
Limit Armmex 20
Limit Armmoho 10
Limit Corsolar 5
Limit Cormex 20
Limit Cormoho 12
Limit Armmstor 0
Limit Corwin 10
Limit Corfus 3
Limit Corgeo 10
Limit Corestor 1
Limit Cormstor 0
Limit Cormakr 0
Limit Armwin 10
Limit Armsolar 5
Limit Armuwms 0
Limit Armfmkr 0
Limit Armmmkr 0
Limit Coruwmex 4
Limit Armuwes 0
Limit Armuwmex 0
Limit Corckfus 0
Limit Cormmkr 0
Limit Coruwms 0
Limit Coruwfus 1
Limit Armuwfus 0
Limit Coruwes 1
Limit Corfmkr 0
Limit Armckfus 0

/ Plants /

Limit Armalab 7
Limit Armap 1
Limit Armasy 2
Limit Armaap 7
Limit Armvp 3
Limit Armavp 3
Limit Coralab 12
Limit Armlab 4
Limit Armsy 1
Limit Corsy 2
Limit Corvp 3
Limit Coravp 3
Limit Corap 0
Limit Corasy 2
Limit Corlab 4
Limit Coraap 16
Limit Corplat 2
Limit Armplat 2
Limit Armhp 2
Limit Corgant 20
Limit Corhp 2
Limit Szarmaap 0
Limit Szcoraap 5

/ Specialized Units /

Limit Armarad 0
Limit Armasp 1
Limit Armgate 0
Limit Corsilo 0
Limit Corrad 0
Limit Corgate 0
Limit Corfmd 0
Limit Corbuild 0
Limit Corarad 0
Limit Corasp 2
Limit Armsilo 0
Limit Armrad 0
Limit Armtarg 0
Limit Armdev1 0
Limit Cormine1 0
Limit Armmine3 0
Limit Armmine4 0
Limit Armmine5 0
Limit Armscorp 0
Limit Corscorp 5
Limit Armmine1 0
Limit Cordev1 0
Limit Armbeac 0
Limit Cortarg 0
Limit Corbeac 0
Limit Armmine2 0
Limit Armmine6 0
Limit Armss 2
Limit Cormine3 0
Limit Cormine6 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cormine2 0
Limit Corss 4
Limit Cortron 0
Limit Armemp 0
