//AI By Switeck
LIMIT ArmFamine 0
LIMIT armfflak 0
LIMIT ARMFORTEW 0
LIMIT ARMFORTNS 0
LIMIT ArmFRP 0
LIMIT armhnsilo 0
LIMIT armhpns 0
LIMIT ARMmcary 0
LIMIT armmohns 0
LIMIT armMsub 0
LIMIT armpadns 0
LIMIT armrecl 0
LIMIT armshstp 0
LIMIT armslons 0
LIMIT armtanker 0
LIMIT Armtrid 0
LIMIT armUMME 0
LIMIT AURA 0
LIMIT corhpns 0
LIMIT corintns 0
LIMIT cormohns 0
LIMIT corMsub 0
LIMIT cormuskrat 0
LIMIT cnemesis 0
LIMIT coradvsol 0
LIMIT corbarr 0
LIMIT corbc 0
LIMIT Coresupp 0
LIMIT corhpns 0
LIMIT corintns 0
LIMIT Corkrak 0
LIMIT CorPestilence 0
LIMIT corshilone 0
LIMIT cortanker 0
LIMIT corUMME 0
LIMIT decade 0
LIMIT enabler 0
LIMIT mlex 0
LIMIT spoofer 0
LIMIT stealth 0
LIMIT StorageFacility 0
LIMIT TAWF006 0
LIMIT TAWF008 0
LIMIT TAWF009 0
LIMIT TAWF105 0
LIMIT TAWF108 0
LIMIT Whale 0
LIMIT wraith 0
LIMIT Xenon 0

// 3rd party limits
LIMIT Aafus 1
LIMIT abigfatm 2
LIMIT aexxec 4
LIMIT agorgon 1/
LIMIT alouette 1/
LIMIT Amgeo 99
LIMIT apart 1/
LIMIT aPitBull 1/
LIMIT armampbd 1/
LIMIT ARMANS 2
LIMIT armarch 2
LIMIT armArtH 3
LIMIT armbear 3
LIMIT Armbehem 1/
LIMIT armbighr 1/
LIMIT armCamp 1/
LIMIT Armcav 1//
LIMIT Armcir 8
LIMIT ARMcybr 0
LIMIT Armdeva 0
LIMIT armdread 1
LIMIT armdslayer 1/
LIMIT armfboy 1/
LIMIT armflakh 2
LIMIT armgat 0
LIMIT Armguss 3
LIMIT ArmHH 0
LIMIT armjanus 10
LIMIT armKAAT 5
LIMIT armkam 4
LIMIT ARMKRYP 0
LIMIT armkus 0
LIMIT armlashover 3
LIMIT armlth 0
LIMIT armMech 0
LIMIT armmlsp 2
LIMIT armmortar 0
LIMIT armorca 8
LIMIT ArmOS 0
LIMIT Armpb 0
LIMIT armpers 1/
LIMIT armpgh 1/
LIMIT armpincer 5
LIMIT armrecl 0
LIMIT armrogue 1//
LIMIT armSabot 2/
LIMIT Armsonic 0
LIMIT Armspion 1
LIMIT armtanker 0
LIMIT ArmTomct 3
LIMIT armvind 10
LIMIT armwasp 2
LIMIT ASNIPER 2
LIMIT bearcat 4
LIMIT BlackDawn 10
LIMIT blade 4/
LIMIT blotter 1/
LIMIT bob 1
LIMIT bombardier 2
LIMIT Cafus 1
LIMIT cdragon 0
LIMIT chaosmachine 0
LIMIT charpy 3
LIMIT Chopper 0
LIMIT Ckmmkr 1/
LIMIT clb 2
LIMIT Cmgeo 99
LIMIT coradvrh 0
LIMIT corans 2
LIMIT corArtH 4
LIMIT corartv 12
LIMIT CORBANDIT 12
LIMIT Corcirc 2
LIMIT CorCRAB 0
LIMIT CORCRW 1/
LIMIT CorCSFT 2/
LIMIT corddaap 0
LIMIT corelashover 1/
LIMIT coreMech 1/
LIMIT CORERAD 8
LIMIT CORERRP 0/
LIMIT Coresold 1/
LIMIT CorFLA 0
LIMIT corflakh 2
LIMIT corflam 3
LIMIT corfury 1/
LIMIT corgarp 1/
LIMIT corGFBT 4
LIMIT CorHors 1/
LIMIT CorLoki 4
LIMIT CORMachn 0
LIMIT cormlsp 2
LIMIT CorOS 0
LIMIT corparrow 10
LIMIT CorPestilence 0
LIMIT corphyset 6
LIMIT corpulsar 1/
LIMIT corronin 5
LIMIT corSabot 1/
LIMIT Corsmk 2
LIMIT corsnapt 0
LIMIT cortanker 0
LIMIT corthrash 2
LIMIT Corthug 5
LIMIT corUMME 0
LIMIT corzlot 0/
LIMIT Cougar 2
LIMIT cslicer 7
LIMIT cspeed 0
LIMIT gryphon 3
LIMIT havoc 5
LIMIT hellfire 2
LIMIT HERETIC 7
LIMIT hkcore 10
LIMIT HYDRA 0/
LIMIT lobber 2
LIMIT MAMMOTH 0
LIMIT MARAUDER 0
LIMIT medusa 1
LIMIT mercury 3
LIMIT NAGA 0/
LIMIT nsaagriz 3
LIMIT nsacbehe 2
LIMIT nsacbrim 10
LIMIT nsaclash 10
LIMIT nsacskv 2
LIMIT oppressor 2
LIMIT Orca 4
LIMIT QuadAirPad 1
LIMIT RepairArm 1
LIMIT sabre 3
LIMIT screamer 3
LIMIT Shaker 2
LIMIT Shrike 10
LIMIT Speeder 0
LIMIT splinter 0
LIMIT TAWF003 1/
LIMIT TAWF004 1
LIMIT TAWF005 0
LIMIT TAWF007 0
LIMIT TAWF010 0
LIMIT TAWF013 1/
LIMIT TAWF014 0
LIMIT TAWF103 1/
LIMIT TAWF104 1
LIMIT TAWF107 1
LIMIT TAWF112 1/
LIMIT TAWF113 1/
LIMIT TAWF114 1/
LIMIT warhammer 1/

limit AFUZY 2
limit ARMARCH 2
limit ARMDOGL 8
limit ARMMOSQU 0
limit ARMREP 0
limit ARMSPAR 0
limit EMPATH 0
limit TURNER 10

limit CJAMFUSR 1
limit CMBOX 4
limit CORDEK 40
limit CORDEV 1
limit CORDOGL 8
limit CORFRL 0
limit CORLOCUS 0
limit CORSUMOT 2
limit CORWING 4
limit CORZAP 0
limit CPOWER 1
limit CRNNS 0
limit DCONDORE 0
limit PRIEST 0
limit ROLLER 10
limit SOULREAVER 1

// ARM

Limit ARMATLAS 0
Limit ARMFIG 12
Limit ARMPEEP 0
Limit ARMTHUND 0

Limit ARMAWAC 0
Limit ARMBRAWL 30
Limit ARMHAWK 60
Limit ARMLANCE 0
Limit ARMPNIX 0



Limit ARMROCK 16

Limit ARMASER 1
Limit ARMCOM 0
Limit ARMDECOM 4
Limit ARMFAST 0
Limit ARMMARK 0
Limit ARMMAV 12
Limit ARMRECTR 0
Limit ARMSNIPE 0
Limit ARMSPY 0
Limit ARMVADER 0
Limit ARMZEUS 0

Limit ARMFAV 0
Limit ARMFLASH 12
Limit ARMMLV 0
Limit ARMSAM 22



Limit ARMCROC 0
Limit ARMJAM 1
Limit ARMLATNK 8
Limit ARMMANNI 0
Limit ARMMART 0
Limit ARMMERL 12
Limit ARMSCAB 0
Limit ARMSCORP 10
Limit ARMSEER 0
Limit ARMSPID 0
Limit ARMYORK 0

Limit ARMDRAG 0
Limit ARMESTOR 1
Limit ARMGEO 99
Limit ARMLLT 0
Limit ARMMAKR 2
Limit ARMMEX 32
Limit ARMMSTOR 0
Limit ARMRAD 0
Limit ARMSOLAR 54
Limit ARMWIN 0

Limit ARMANNI 0
Limit ARMAMB 0
Limit ARMAMD 0
Limit ARMARAD 0
Limit ARMASP 4
Limit ARMBEAC 0
// Limit ARMBRTHA 2
Limit ARMCKFUS 0
Limit ARMDEV1 0
Limit ARMEMP 0
Limit ARMFLAK 0
Limit ARMFORT 0
Limit ARMFUS 6
Limit ARMGATE 0
Limit ARMMMKR 3
Limit ARMMOHO 0
Limit ARMSILO 0
Limit ARMTARG 0
Limit ARMVULC 0

Limit ARMFDRAG 0
Limit ARMFHLT 3
Limit ARMFMKR 0
Limit ARMFRT 0
Limit ARMSONAR 0
Limit ARMTIDE 0
Limit ARMTL 0
Limit ARMUWES 0
Limit ARMUWMEX 0
Limit ARMUWMS 0

Limit ARMHP 0
Limit ARMSY 0
Limit ARMACA 0

Weight ARMDRAG 0
Weight ARMLLT 0
Weight ARMMSTOR 0
Weight ARMRAD 0
Weight ARMWIN 0

Weight ARMSONAR 0
Weight ARMTIDE 0
Weight ARMTL 0
Weight ARMUWES 0
Weight ARMUWMEX 0
Weight ARMUWMS 0

Weight ARMHP 0
Weight ARMSY 0

Weight ARM 0.1

// CORE

Limit CORFINK 0
Limit CORSHAD 0
Limit CORVENG 16

Limit CORAPE 40
Limit CORAWAC 0
Limit CORBVALK 0
Limit CORHURC 0
Limit CORTITAN 0
Limit CORVALK 0
Limit CORVAMP 50

Limit CORAK 0
Limit CORCRASH 5
Limit CORSTORM 16


Limit CORAMPH 0
Limit CORCAN 5
Limit CORCOM 0
Limit CORDECOM 4
Limit CORFAST 0
Limit CORKROG 20
Limit CORHRK 10
Limit CORMORT 16
Limit CORNECRO 0
Limit CORPYRO 0
Limit CORROACH 0
Limit CORSCORP 10
Limit CORSNIPE 0
Limit CORSPEC 1
Limit CORSPY 0
Limit CORSUMO 4
Limit CORVOYR 0

Limit CORFAV 0
Limit CORFING 0
Limit CORGATOR 8
Limit CORLEVLR 0
Limit CORMIST 20
Limit CORMLV 0
Limit CORRAID 0
Limit CORTRUCK 0

Limit CORETER 1
Limit CORGOL 12
Limit CORMABM 0
Limit CORMART 0
Limit CORREAP 0
Limit CORSEAL 0
Limit CORSENT 0
Limit CORVRAD 0
Limit CORVROC 4

Limit CORBUILD 0
Limit CORDRAG 0
Limit CORESTOR 1
Limit CORFDRAG 0
Limit CORGEO 99
Limit CORHLT 3
Limit CORLLT 0
Limit CORMAKR 0
Limit CORMEX 36
Limit CORMSTOR 0
Limit CORPLAS 0
Limit CORPUN 6
Limit CORRAD 0
Limit CORRL 40
Limit CORSOLAR 30
Limit CORVIPE 0
Limit CORWIN 0

Limit CORARAD 0
Limit CORASP 3
Limit CORBEAC 0
Limit CORBUZZ 0
Limit CORCKFUS 0
Limit CORDEV1 0
Limit CORDOOM 0
Limit CORFMD 0
Limit CORFLAK 14
Limit CORFORT 0
Limit CORFUS 6
Limit CORGATE 0
// Limit CORINT 3
Limit CORMMKR 4
Limit CORMOHO 0
Limit CORSILO 0
Limit CORTARG 0
Limit CORTOAST 0
Limit CORTRON 0

Limit CORFHLT 0
Limit CORFMKR 0
Limit CORFRT 0
Limit CORSONAR 0
Limit CORTIDE 0
Limit CORTL 0
Limit CORUWES 0
Limit CORUWMEX 0
Limit CORUWMS 0

Limit CORHP 0
Limit CORSY 0
Limit CORACA 0

Weight CORDRAG 0
Weight CORLLT 0
Weight CORMSTOR 0
Weight CORRAD 0
Weight CORVIPE 0
Weight CORWIN 0

Weight CORSONAR 0
Weight CORTIDE 0
Weight CORTL 0
Weight CORUWES 0
Weight CORUWMEX 0
Weight CORUWMS 0

Weight CORHP 0
Weight CORSY 0

Weight CORE 0.1

plan easy

Limit ARMALAB 1
Limit ARMAVP 1
Limit ARMAP 0
Limit ARMLAB 1
Limit ARMVP 1
Limit ARMAIVP 0

Limit ARMBRTHA 0
Limit NUKEA 0
Limit AAIEMP 0

Limit ARMACK 0
Limit ARMACV 1
Limit ARMCK 1
Limit ARMCV 1

Limit CORALAB 1
Limit CORAVP 1
Limit CORAP 0
Limit CORGANT 0
Limit CORLAB 1
Limit CORVP 1
Limit CAIGANT 0

Limit CORINT 0
Limit NUKEC 0
Limit CAITRON 0

Limit CORACK 0
Limit CORACV 1
Limit CORCK 1
Limit CORCV 1
Limit level2 20
Limit level3 4

plan medium

Limit ARMAAP 2
Limit ARMALAB 2
Limit ARMAVP 1
Limit ARMAP 1
Limit ARMLAB 1
Limit ARMVP 2
Limit ARMAIVP 0

Limit ARMBRTHA 2
Limit NUKEA 1
Limit AAIEMP 1

Limit ARMACK 0
Limit ARMACV 2
Limit ARMCA 2
Limit ARMCK 2
Limit ARMCV 2

Limit CORAAP 2
Limit CORALAB 2
Limit CORAVP 1
Limit CORAP 1
Limit CORGANT 1
Limit CORLAB 2
Limit CORVP 1
Limit CAIGANT 1

Limit CORINT 2
Limit NUKEC 1
Limit CAITRON 1

Limit CORACK 2
Limit CORACV 1
Limit CORCA 2
Limit CORCK 2
Limit CORCV 2

plan hard

Limit ARMAAP 10
Limit ARMALAB 2
Limit ARMAVP 2
Limit ARMAP 2
Limit ARMLAB 2
Limit ARMVP 2
Limit ARMAIVP 3

Limit ARMBRTHA 7
Limit NUKEA 3
Limit AAIEMP 1

Limit ARMACK 2
Limit ARMACV 2
Limit ARMCA 12
Limit ARMCK 2
Limit ARMCV 3

Limit CORAAP 8
Limit CORALAB 2
Limit CORAVP 2
Limit CORAP 2
Limit CORGANT 2
Limit CORLAB 2
Limit CORVP 2
Limit CAIGANT 2

Limit CORINT 8
Limit NUKEC 2
Limit CAITRON 1

Limit CORACK 3
Limit CORACV 1
Limit CORCA 10
Limit CORCK 3
Limit CORCV 2
