// Congost MoonAi v1.5a
// Especially modified for Congost

// Set Construction
Limit CORMABM 0
Limit ARMSCAB 0
Limit ARMEMP 0
Limit CORTRON 0

// Weights and Limits for ground units from the McnTerra AI by Sage_Z v0.01 Updated by me
Weight ARMFLASH 9
Weight ARMROCK 9
Weight ARMLATNK 4
Weight ARMFIDO 4
Weight ARMFAST 1.5
Weight ARMMERL 9
Weight ARMMAV 9
Weight ARMSAM 2.15
Weight ARMAMPH 0
Weight ARMHAM 5
Weight ARMSPID 5
Weight ARMBULL 7
Weight ARMMART 0.6
Weight ARMPW 0.5
Weight ARMYORK 0.2
Weight ARMDECOM 0.5
Weight ARMWAR 2
Weight ARMSTUMP 0.2
Weight ARMMAV 5

Weight CORSTORM 9
Weight CORCAN 3
Weight CORGOL 3
Weight CORGATOR 2
Weight CORMORT 1.5
Weight CORHRK  0.9
Weight CORMIST 0.9
Weight CORSUMO 0.6
Weight CORTHUD 3
Weight CORRAID 3
Weight CORCRASH 2
Weight CORSENT 0.2
Weight CORVROC 2.5
Weight CORDECOM 0.05
Weight CORMART 0.2
Weight CORREAP 1.75
Weight CORPYRO 0.15

Limit ARMAMPH 0
Limit ARMASER 0
limit ARMCOM 0
Limit ARMDECOM 2
Limit ARMFAST 5
Limit ARMFIDO 8
Limit ARMFLEA 2
Limit ARMHAM 3
Limit ARMJETH 6
Limit ARMMARK 1
Limit ARMMAV 12
Limit ARMPW 4
Limit ARMRECTR 0
Limit ARMROCK 10
Limit ARMSCORP 0
Limit ARMSEER 0
Limit ARMSNIPE 0
Limit ARMSPY 0
Limit ARMVADER 0
Limit ARMWAR 5
Limit ARMZEUS 2
Limit ARMBULL 15
Limit ARMCROC 0
Limit ARMFAV 0
Limit ARMFLASH 25
Limit ARMJAM 3
Limit ARMLATNK 15
Limit ARMMANNI 0
Limit ARMMART 4
Limit ARMMERL 16
Limit ARMMLV 0
Limit ARMSAM 20
Limit ARMSCAB 1
Limit ARMSPID 6
Limit ARMSTUMP 0
Limit ARMYORK 3

Limit CORAMPH 0
Limit CORAK 0
Limit CORCAN 15
Limit CORCRASH 5
Limit CORCOM 0
Limit CORDECOM 2
Limit CORFAST 5
Limit CORHRK  10
Limit CORMORT 15
Limit CORNECRO 0
Limit CORPYRO 2
Limit CORROACH 0
Limit CORSPY 0
Limit CORSTORM 20
Limit CORSUMO 8
Limit CORTHUD 10
Limit CORVOYR 0
Limit CORETER 0
Limit CORFAV 0
Limit CORFING 0
Limit CORGATOR 10
Limit CORGOL 20
Limit CORLEVLR 0
Limit CORMART 5
Limit CORMIST 20
Limit CORMLV 0
Limit CORRAID 8
Limit CORREAP 10
Limit CORSEAL 0
Limit CORSENT 5
Limit CORTRUCK 0
Limit CORVRAD 0
Limit CORVROC 8

// Set Energy Build
Weight ARMGEO 9
Weight CORGEO 9
Weight ARMADVSOL 2.65
Weight CORADVSOL 2.65
Weight ARMFUS 1.55
Weight CORFUS 1.55
Weight ARMMMKR 0.05
Weight CORMMKR 0.05
Weight ARMMAKR 0.10
Weight CORMAKR 0.10
Weight CORCKFUS 0
Weight ARMCKFUS 0 
Limit ARMMKR 1
Limit CORMMKR 1
Limit ARMMARK 3
Limit CORMARK 3

// Optional Units ( only for games with fog of war, delete if you want )
Weight ARMARAD 0.90
Weight CORARAD 0.90
Weight ARMRAD 0.90
Weight CORRAD 0.90
Limit CORTARG 0
Limit ARMTARG 0
Limit ARMARAD 1
Limit CORARAD 1
Limit ARMRAD 2
Limit CORRAD 2

// Limit Plant Construction
Weight CORGANT 0.95
Weight ARMAAP 0.85
Weight CORAAP 0.85
Weight CORALAB 0.75
Weight ARMALAB 0.75
Weight CORAVP 1.10
Weight ARMAVP 1.10
Weight ARMLAB 1
Weight CORLAB 1
Weight ARMVP 1.25
Weight CORVP 1.25
Weight ARMAP 1.05
Weight CORAP 1.05
Weight CORBLAB 0.15
Weight CORMTLAB 0.10
Weight ARMBLAB 0.15 
Limit ARMAAP 2
Limit CORAAP 2
Limit CORALAB 2
Limit ARMALAB 2
Limit CORALAB 2
Limit CORAVP 2
Limit ARMAVP 2
Limit CAHP 0
Limit AAHP 0
Limit ARMBLAB 1
Limit CORBLAB 1
Limit CORMTLAB 3
Limit ARMLAB 3
Limit CORLAB 3
Limit ARMVP 3
Limit CORVP 3
Limit ARMAP 3
Limit CORAP 3
Limit ARMHP 0
Limit CORHP 0
Limit CORGANT 1

// Increase Airstrikes
Weight ARMBRAWL 1.75
Weight CORAPE 1.75
Weight CORVAMP 0.65
Weight ARMHAWK 0.65
Weight ARMATLAS 0
Weight ARMAWAC 0
Weight ARMLANCE 0
Weight ARMPEEP 0
Weight ARMFIG 0.10
Weight ARMPNIX 0.25
Weight ARMTHUND 0
Weight CORAWAC 0
Weight CORFINK 0
Weight CORHUNT 0
Weight CORHURC 0.25
Weight CORSHAD 0
Weight CORTITAN 0
Weight CORVALK 0
Weight CORVENG 0.10
Weight CDRAGON 0.06
Weight CHARPY 0.50
Weight HKCORE 0.15
Weight ORCA 0
Weight TAWF107 0.15
Weight TAWF108 0.1
Weight ARMPERS 1.15
Weight CHOPPER 0.15
Weight GRYPHON 0.50
Weight TAWF007 0
Weight TAWF008 0.1
Weight ARMCYBR 0.1
Weight CORCRW 0.15
Weight CORHORS 0.08
Weight SABRE 1.15
Weight ARMMLSP 0
Weight ARMTOMCT 0.2
Weight HAVOC 1.15
Limit CORHORS 1
Limit SABRE 10
Limit ARMFRP 0
Limit ARMMLSP 0
Limit HAVOC 10
Limit ARMTOMCT 5
Limit ARMCYBR 1
Limit TAWF007 0
Limit TAWF008 1
Limit PREDATOR 0
Limit GRYPHON 7
Limit ARMWASP 0
Limit CHOPPER 1
Limit SHIRKE 5
Limit ARMPERS 10
Limit CDRAGON 1
Limit CHARPY 7
Limit HKCORE 2
Limit ORCA 0
Limit TAWF107 2
Limit TAWF108 1
Limit CORAPE 15 
Limit ARMBRAWL 15
Limit CORVAMP 7
Limit ARMHAWK 7
Limit ARMATLAS 0
Limit ARMAWAC 0
Limit ARMLANCE 0
Limit ARMPEEP 0
Limit ARMFIG 2
Limit ARMPNIX 4
Limit ARMTHUND 0
Limit CORAWAC 0
Limit CORFINK 0
Limit CORHUNT 0
Limit CORHURC 4
Limit CORSHAD 0
Limit CORTITAN 0
Limit CORVALK 0
Limit CORVENG 2

// TA - POWER Units (Air, Land, Structure)
Weight BLACKDAWN 1.25
Weight OPPRESSOR 1.45
Weight DEMOLISH 0.95
Weight PACKO 0.65
Weight CORINC 1.35 
Weight ArmEman 1.35   
Weight SHIVA 1.10          // By Merciless Creations Copyright 1999 All Rights Reserved
Weight BLADE 1.25
Weight CORPORC 1.65
Weight AHERMES 0.35
Weight KROGTAAR 1.15
Limit AHERMES 3
Limit CKRAKEN 0
Limit KROGTAAR 2
Limit CORPORC 5
Limit CORDOZER 5
Limit ARMDOZER 5
Limit BLADE 10
Limit PACKO 4
Limit OPPRESSOR 10
Limit DEMOLISH 5
Limit BLACKDAWN 10
Limit CORINC 8
Limit ArmEman 7
Limit DICTATOR 0
Limit SHIVA 2

// Boneyards Units by Cavedog
Weight CORPLAS 1.65
Weight ARMFARK 0.35
Limit ARMFARK 3

//Moon Nukes v1.0 (from BAI)
weight CAISILO 0.45
weight AAISILO 0.55
Limit CAISILO 2
Limit AAISILO 2

// Limit Big Guns
Limit NAGA 0
Limit ARMVULC 0
Limit CORBUZZ 0
Limit ARMBRTHA 0
Limit CORINT 0

// Increase Hover Craft
Weight ARMANAC 0
Weight CORSNAP 0
Weight ARMMH 0
Weight CORMH 0
Weight ARMAH 0
Weight CORAH 0

// HACKS and 3rd Party Units by Sage_Z McnTerra AI v0.01 Updated by me for play with TAUIP 2.1

weight TURNER 9
weight ARMDREAD 0.3
weight ARMCYBR 0.3
weight WRAITH 0.3
weight ARMKAM 0.05
weight NUKEA 0.5
limit AATIDE 0
limit AEXXEC 6
limit AFUZY 2
limit ARMAAJ 0
limit ARMARCH 3
limit ARMCYBR 4
limit ARMDOGL 8
limit ARMDREAD 4
limit ARMEMG 0
limit ARMGUSS 2
limit ARMKAM 0
limit ARMMIN 0
limit ARMMOSQU 0
limit ARMREP 0
limit ARMSPAR 0
limit ASNIPER 6
limit ATNK 0
limit EMPATH 0
limit NUKEA 2
limit SPOOFER 0
limit TURNER 10
limit WRAITH 1
limit TAWF014 3
limit TAWF003 2

weight CSLICER 9
weight ROLLER 9
weight CSPEED 3
weight CPOWER 0.9
weight NUKEC 0.2
weight CORWING 5
weight CKMMKR 0.1
weight CJAMFUSR 0.1
limit TAWF114 4
limit CJAMFUSR 1
limit CKMMKR 1
limit CMBOX 4
limit CORARTV 6
limit CORDEV 1
limit CORDOGL 8
limit CORFRL 0
limit CORLOCUS 0
limit CORSUMOT 2
limit CORTHUG 6
limit CORTRUCK 0
limit CORWING 4
limit CORZAP 0
limit CPOWER 1
limit CRNNS 0
limit CSLICER 8
limit CSPEED 4
limit DCONDORE 0
limit NUKEC 2
limit PRIEST 0
limit ROLLER 10
limit XENON 5

// TA - POWER ELITE PACK v3 (Some new units and updates)
Weight COUGAR 0.85
Weight hellfire 0.25
Weight CORMachn 0.22
Weight coreMech 1.25
Weight ARMFBOY 0.90 
Weight armMech 0.5
Weight ARMSABOT 0.6
Weight CORSABOT 0.6
Weight SPLINTER 7.55
Weight ARMCAMP 0.3	
Weight CORAMEX 3.55
Weight ARMAMEX 3.55
Weight ARMMEDT 0.45
Limit ARMMEDT 7
Limit SPLINTER 15
Limit CORSABOT 5
Limit ARMSABOT 5
Limit CORFHC 0
Limit CORFFLAK 0
Limit CORUWADVES 0
Limit CORUWADVMS 0
Limit Rodent 0
Limit VERMIN 0
Limit ARMCAMP 1
Limit COUGAR 2
Limit hellfire 2
Limit CorMachn 1
Limit coreMech 7
Limit clb 0
Limit ARMFBOY 4
Limit armMech 1

plan easy

Weight ARMSPID 0.15
Weight CORKROG 0
Limit ARMSPID 2
Limit CORKROG 0

plan medium

Weight ARMSPID 0.45
Weight CORKROG 1.05
Limit ARMSPID 7 
Limit CORKROG 1

plan hard

Weight ARMSPID 0.55
Weight CORKROG 1.25
Limit ARMSPID 10 
Limit CORKROG 2

// TA - POWER (Total Annihilation - POWER) http://unituniverse.com/ta-power
// Gabriel B. aka VanTheMan (gabriel@ctv.es)

