//Drako's Normandy AI

//All of the stuff Arm will never use...

Weight ARMUWFUS 1.6
Weight ARMUWMEX 2.0
Weight ARMUWMS 0.9
Weight ARMVP 3.4
Weight ARMVULC 0.5
Weight ARMWIN 1.4

//Limits for the stuff Arm can use

Limit ARMAAP 2
Limit ARMAAS 3
Limit ARMACA 3
Limit ARMACK 3
Limit ARMACSUB 1
Limit ARMACV 2
Limit ARMALAB 2
Limit ARMAMB 5
Limit ARMAMPH 15
Limit ARMANNI 4
Limit ARMAP 3
Limit ARMASP 1
Limit ARMASY 3
Limit ARMATL 5
Limit ARMAVP 2
Limit ARMBATS 2
Limit ARMBRAWL 20
Limit ARMBRTHA 3
Limit ARMCA 3
Limit ARMCARRY 2
Limit ARMCK 2
Limit ARMCROC 10
Limit ARMCRUS 6
Limit ARMCS 3
Limit ARMCSA 3
Limit ARMCV 2
Limit ARMESTOR 4
Limit ARMFARK 5
Limit ARMFHLT 4
Limit ARMFIG 40
Limit ARMFLAK 3
Limit ARMFMKR 5
Limit ARMFUS 4
Limit ARMGEO 3
Limit ARMGUARD 5
Limit ARMHAWK 50
Limit ARMHLT 5
Limit ARMLAB 1
Limit ARMMAKR 2
Limit ARMMEX 20
Limit ARMMMKR 1
Limit ARMMOHO 5
Limit ARMMSHIP 3
Limit ARMMSTOR 4
Limit ARMPLAT 2
Limit ARMPT 17
Limit ARMRL 40
Limit ARMROY 4
Limit ARMSFIG 20
Limit ARMSOLAR 30
Limit ARMSUB 10
Limit ARMSUBK 4
Limit ARMSY 3
Limit ARMTHUND 10
Limit ARMTIDE 25
Limit ARMTL 6
Limit ARMUWES 2
Limit ARMUWFUS 3
Limit ARMUWMEX 7
Limit ARMUWMS 2
Limit ARMVP 1
Limit ARMVULC 0
Limit ARMWIN 4 

//Limits for the stuff Core will never use.

Limit CORAH 0
Limit CORAK 0
Limit CORAWAC 0
Limit CORBUZZ 0
Limit CORCAN 0
Limit CORCARRY 0
Limit CORCH 0
Limit CORCKFUS 0
Limit CORCOM 0
Limit CORCRASH 0
Limit CORDECOM 0
Limit CORETER 0
Limit CORFAST 0
Limit CORFAV 0
Limit CORFINK 0
Limit CORGANT 0
Limit CORGATOR 0
Limit CORGOL 0
Limit CORHP 0
Limit CORHRK 0
Limit CORHUNT 0
Limit CORKROG 0
Limit CORLLT 0
Limit CORMART 0
Limit CORMH 0
Limit CORMIST 0
Limit CORMLV 0
Limit CORMORT 0
Limit CORPYRO 0
Limit CORRAD 0
Limit CORRAID 0
Limit CORREAP 0
Limit CORROACH 0
Limit CORSEAP 0
Limit CORSENT 0
Limit CORSH 0
Limit CORSILO 0
Limit CORSJAM 0
Limit CORSNAP 0
Limit CORSONAR 0
Limit CORSPEC 0
Limit CORSPY 0
Limit CORSTORM 0
Limit CORSUMO 0
Limit CORTARG 0
Limit CORTHOVR 0
Limit CORTHUD 0
Limit CORTITAN 0
Limit CORTRON 0
Limit CORTSHIP 0
Limit CORVALK 0
Limit CORVOYR 0
Limit CORVROC 0
Limit CORARAD 0
Limit CORASON 0
Limit CORLEVLR 0
Limit CORVRAD 0
Limit CORMABM 0
Limit CORFMD 0

//Weights for the stuff Core can use.

Weight CORAAP 3.5
Weight CORACA 2.9
Weight CORACK 2.2
Weight CORACSUB 2.1
Weight CORACV 3.4
Weight CORALAB 3.2
Weight CORAMPH 2.8
Weight CORAP 3
Weight CORAPE 4.2
Weight CORARCH 2.3
Weight CORASP .8
Weight CORASY 3.1
Weight CORATL 1.6
Weight CORAVP 3.9
Weight CORBATS 2.7
Weight CORCA 3.7
Weight CORCK 3.4
Weight CORCRUS 2.9
Weight CORCS 3.1
Weight CORCSA 2.3
Weight CORCV 3.5
Weight CORDOOM 1.6
Weight CORESTOR 1.3
Weight CORFHLT 2.6
Weight CORFLAK 1.8
Weight CORFMKR .6
Weight CORFRT 3.8
Weight CORFUS 2.9
Weight CORGEO 2.6
Weight CORHLT 3.1
Weight CORHURC 3
Weight CORINT 3.6
Weight CORLAB 3.4
Weight CORMAKR .9
Weight CORMEX 3.9
Weight CORMMKR .3
Weight CORMOHO 2.1
Weight CORMSHIP 2.2
Weight CORMSTOR 1
Weight CORPLAS .4
Weight CORPLAT 1.3
Weight CORPT 4
Weight CORPUN 3.6
Weight CORRL 6.2
Weight CORROY 3.1
Weight CORSEAL 3.5
Weight CORSFIG 2.7
Weight CORSHAD 3.3
Weight CORSHARK 2.9
Weight CORSOLAR 3.9
Weight CORSSUB 4
Weight CORSUB 2.8
Weight CORSY 4.7
Weight CORTIDE 2.9
Weight CORTL 2.6
Weight CORTOAST 2
Weight CORUWES .7
Weight CORUWFUS 1
Weight CORUWMEX .9
Weight CORUWMS .7
Weight CORVAMP 3.2
Weight CORVENG 2.9
Weight CORVIPE 1.4
Weight CORVP 3.4
Weight CORWIN 3.1

//Limits for the stuff Core can use...

Limit CORAAP 2
Limit CORACA 3
Limit CORACK 2
Limit CORACSUB 1
Limit CORACV 2
Limit CORALAB 2
Limit CORAMPH 7
Limit CORAP 3
Limit CORAPE 30
Limit CORARCH 4
Limit CORASP 1
Limit CORASY 2
Limit CORATL 3
Limit CORAVP 2
Limit CORBATS 3
Limit CORCA 4
Limit CORCK 2
Limit CORCRUS 6
Limit CORCS 2
Limit CORCSA 1
Limit CORCV 3
Limit CORDOOM 3
Limit CORESTOR 2
Limit CORFHLT 4 
Limit CORFLAK 4
Limit CORFMKR 2
Limit CORFRT 10
Limit CORFUS 3
Limit CORGEO 2
Limit CORHLT 4
Limit CORHURC 10
Limit CORINT 2
Limit CORLAB 2
Limit CORMAKR 2
Limit CORMEX 30
Limit CORMMKR 1
Limit CORMOHO 3
Limit CORMSHIP 2
Limit CORMSTOR 2
Limit CORPLAS 3
Limit CORPLAT 1
Limit CORPT 15
Limit CORPUN 6
Limit CORRL 18
Limit CORROY 4
Limit CORSEAL 8
Limit CORSFIG 9
Limit CORSHAD 6
Limit CORSHARK 3
Limit CORSOLAR 18
Limit CORSSUB 5
Limit CORSUB 3
Limit CORSY 2
Limit CORTIDE 6
Limit CORTL 3
Limit CORTOAST 3
Limit CORUWES 1
Limit CORUWFUS 1
Limit CORUWMEX 6
Limit CORMS 1
Limit CORVAMP 40
Limit CORVENG 38
Limit CORVIPE 2
Limit CORVP 2
Limit CORWIN 18

//Whew, that was fun... Enjoy!
