// Date: 03-24-2001
// Auth: GeistHund222
// Name: Firestorm AI
// Used: Small AI Designer Build 1.1.3

/ Build Priorities  /
Weight Caickfus 9
Weight Aaimexx 1
Weight Caisolrx 1.5
Weight Caimexx 1
Weight Cuwmmkr 0
Weight Auwmmkr 0
Weight Armumme 0
Weight Corumme 0

/ Plants /

Weight Armalab 0.6
Weight Armap 2
Weight Armasy 0
Weight Armaap 4
Weight Armvp 1
Weight Armavp 0.5
Weight Coralab 0.6
Weight Armlab 1
Weight Armsy 0
Weight Corsy 0
Weight Corvp 1
Weight Coravp 0.5
Weight Corap 3
Weight Corasy 0
Weight Corlab 1
Weight Coraap 4
Weight Armplat 0
Weight Armhp 0
Weight Corplat 0
Weight Corhp 0
Weight Corgant 0.45
Weight Szarmaap 3
Weight Szcoraap 3
Weight Distribfacility 0
Weight Aseacom 0
Weight Cseacom 0

/ Specialized Units /

Weight Armarad 0
Weight Armasp 0.2
Weight Armgate 0
Weight Corsilo 0
Weight Corrad 0
Weight Corgate 0
Weight Corfmd 0
Weight Corbuild 0
Weight Corarad 0
Weight Corasp 0.2
Weight Armsilo 0
Weight Armrad 0
Weight Armss 0
Weight Armscorp 0
Weight Armmine5 0
Weight Armmine2 0
Weight Armmine4 0
Weight Armmine3 0
Weight Armmine1 0
Weight Armtarg 0
Weight Armmine6 0
Weight Armbeac 0
Weight Armdev1 0
Weight Corss 0
Weight Corscorp 0
Weight Cormine2 0
Weight Cormine1 0
Weight Cormine3 0
Weight Cormine4 0
Weight Cormine5 0
Weight Cortarg 0
Weight Cormine6 0
Weight Corbeac 0
Weight Cordev1 0
Weight Cortron 0.01
Weight Armemp 0
Weight Aaisilo 8.5
Weight Caisilo 8.5

Plan Easy

/ Workers /

Limit Armack 1
Limit Armacv 2
Limit Coraca 2
Limit Armaca 2
Limit Armcv 2
Limit Corcs 0
Limit Corca 4
Limit Corack 1
Limit Coracv 2
Limit Corck 1
Limit Armch 0
Limit Armmlv 0
Limit Corch 0
Limit Cormlv 0
Limit Szarmacv 1
Limit Szarmcv 2
Limit Szcorck 1
Limit Szcoracv 1
Limit Szcoraca 2
Limit Szarmaca 2
Limit Szarmack 1
Limit Szcorack 1
Limit Szcorca 4
Limit Szcorcs 0

/ Commanders /

Limit Armcom 0
Limit Corcom 0
Limit Armdecom 2
Limit Cordecom 2

/ Aircraft /

Limit Armbrawl 25
Limit Armca 4
Limit Armfig 5
Limit Armatlas 0
Limit Armhawk 10
Limit Armlance 0
Limit Cortitan 0
Limit Armpeep 0
Limit Armpnix 25
Limit Corvalk 0
Limit Armthund 10
Limit Corshad 10
Limit Corfink 0
Limit Corvamp 10
Limit Corveng 5
Limit Corape 25
Limit Corhurc 25
Limit Armseap 0
Limit Armcsa 0
Limit Armsfig 0
Limit Armsehak 0
Limit Armawac 0
Limit Corseap 0
Limit Corcsa 0
Limit Corsfig 0
Limit Corhunt 0
Limit Corawac 0
Limit Szarmca 4
Limit Armsl 0

/ Tanks /

Limit Armcroc 0
Limit Armfav 0
Limit Armflash 10
Limit Armjam 0
Limit Armmart 5
Limit Armmerl 5
Limit Cormart 0
Limit Cormist 20
Limit Cortruck 0
Limit Correap 5
Limit Corvrad 0
Limit Corvroc 10
Limit Armstump 7
Limit Corcv 2
Limit Corseal 0
Limit Corraid 5
Limit Corgator 5
Limit Corgol 10
Limit Coreter 0
Limit Armsam 5
Limit Armseer 0
Limit Corfav 0
Limit Armspid 0
Limit Armbull 5
Limit Armmh 0
Limit Armmanni 0
Limit Armsh 0
Limit Armah 0
Limit Armanac 0
Limit Armthovr 0
Limit Armlatnk 10
Limit Cormh 0
Limit Corsh 10
Limit Corah 0
Limit Corthovr 0
Limit Corsnap 0
Limit Corlevlr 5
Limit Corsent 5
Limit Armyork 5
Limit Szcorcv 2
Limit Szarmaser 2
Limit Szcoreter 0
Limit Szcorspec 2
Limit Szarmjam 0
Limit Armscab 0
Limit Cormabm 0
Limit Tpbeacon 0
Limit Corsting 0

/ Kbots /

Limit Armaser 0
Limit Armfast 2
Limit Armfido 10
Limit Armvader 0
Limit Corak 5
Limit Armham 10
Limit Armjeth 0
Limit Armck 1
Limit Corthud 7
Limit Corstorm 25
Limit Corroach 0
Limit Corcan 5
Limit Corpyro 5
Limit Armrock 10
Limit Armzeus 0
Limit Corspec 0
Limit Corcrash 5
Limit Armpw 25
Limit Armamph 0
Limit Armmav 10
Limit Armwar 25
Limit Armspy 0
Limit Armmark 0
Limit Coramph 0
Limit Corhrk 10
Limit Corkrog 1
Limit Corfast 0
Limit Corsumo 5
Limit Cormort 5
Limit Corvoyr 0
Limit Corspy 0
Limit Armsnipe 2
Limit Szarmck 1
Limit Armfark 2
Limit Armflea 0
Limit Cornecro 0
Limit Dave 0
Limit Shoryu 0

/ Ships, Sub, And Water-units /

Limit Armtl 0
Limit Armcarry 0
Limit Armcrus 0
Limit Armcs 0
Limit Armtship 0
Limit Corcrus 0
Limit Armsubk 0
Limit Corsonar 0
Limit Cormship 0
Limit Cortl 0
Limit Cortide 0
Limit Corbats 0
Limit Armtide 0
Limit Corsub 0
Limit Armmship 0
Limit Cortship 0
Limit Corroy 0
Limit Armpt 0
Limit Armsub 0
Limit Corshark 0
Limit Corpt 0
Limit Armroy 0
Limit Armbats 0
Limit Corcarry 0
Limit Armsonar 0
Limit Armaas 0
Limit Armacsub 0
Limit Armsjam 0
Limit Armscram 0
Limit Armfhlt 0
Limit Armatl 0
Limit Armfrt 0
Limit Armason 0
Limit Corarch 0
Limit Coracsub 0
Limit Corsjam 0
Limit Corfhlt 0
Limit Coratl 0
Limit Corfrt 0
Limit Corason 0
Limit Corssub 0
Limit Szarmcs 0
Limit Sealockew 0
Limit Sealockns 0

/ Defense /

Limit Armamd 0
Limit Armanni 0
Limit Armdrag 0
Limit Armbrtha 1
Limit Armguard 2
Limit Armhlt 5
Limit Armllt 0
Limit Corrl 7
Limit Cordoom 0
Limit Cordrag 0
Limit Corpun 2
Limit Armrl 7
Limit Corllt 0
Limit Corhlt 5
Limit Corint 1
Limit Armarch 0
Limit Armflak 2
Limit Armamb 4
Limit Armvulc 0
Limit Armfdrag 0
Limit Armfort 0
Limit Corvipe 2
Limit Corflak 2
Limit Corbuzz 0
Limit Cortoast 4
Limit Corfdrag 0
Limit Corfort 0
Limit Corplas 1
Limit Zzz 0
Limit Armfortew 0
Limit Armfortns 0
Limit Armbfortns 0
Limit Corefortew 0
Limit Corefortns 0
Limit Corebfortew 0
Limit Corebfortns 0
Limit Armbfortew 0

/ Resources /

Limit Armestor 1
Limit Armfus 0
Limit Armgeo 0
Limit Armmakr 0
Limit Armmex 25
Limit Armmoho 2
Limit Corsolar 10
Limit Cormex 25
Limit Cormoho 2
Limit Armmstor 0
Limit Corwin 5
Limit Corfus 5
Limit Corgeo 0
Limit Corestor 1
Limit Cormstor 0
Limit Cormakr 0
Limit Armwin 5
Limit Armsolar 10
Limit Armuwmex 0
Limit Armmmkr 5
Limit Armuwfus 0
Limit Armfmkr 0
Limit Armuwes 0
Limit Armckfus 0
Limit Armuwms 0
Limit Coruwmex 0
Limit Cormmkr 5
Limit Corfmkr 0
Limit Corckfus 0
Limit Coruwfus 0
Limit Coruwes 0
Limit Coruwms 0
Limit Aaisolrx 25
Limit Aaickfus 5
Limit Caickfus 5
Limit Aaimexx 2
Limit Caisolrx 25
Limit Caimexx 2
Limit Cuwmmkr 0
Limit Auwmmkr 0
Limit Armumme 0
Limit Corumme 0

/ Plants /

Limit Armalab 1
Limit Armap 0
Limit Armasy 0
Limit Armaap 1
Limit Armvp 1
Limit Armavp 0
Limit Coralab 1
Limit Armlab 1
Limit Armsy 0
Limit Corsy 0
Limit Corvp 1
Limit Coravp 0
Limit Corap 25
Limit Corasy 0
Limit Corlab 1
Limit Coraap 1
Limit Armplat 0
Limit Armhp 0
Limit Corplat 0
Limit Corhp 0
Limit Corgant 0
Limit Szarmaap 1
Limit Szcoraap 1
Limit Distribfacility 0
Limit Aseacom 0
Limit Cseacom 0

/ Specialized Units /

Limit Armarad 0
Limit Armasp 0
Limit Armgate 0
Limit Corsilo 0
Limit Corrad 0
Limit Corgate 0
Limit Corfmd 0
Limit Corbuild 0
Limit Corarad 0
Limit Corasp 0
Limit Armsilo 0
Limit Armrad 0
Limit Armss 0
Limit Armscorp 0
Limit Armmine5 0
Limit Armmine2 0
Limit Armmine4 0
Limit Armmine3 0
Limit Armmine1 0
Limit Armtarg 0
Limit Armmine6 0
Limit Armbeac 0
Limit Armdev1 0
Limit Corss 0
Limit Corscorp 0
Limit Cormine2 0
Limit Cormine1 0
Limit Cormine3 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cortarg 0
Limit Cormine6 0
Limit Corbeac 0
Limit Cordev1 0
Limit Cortron 0
Limit Armemp 0
Limit Aaisilo 2
Limit Caisilo 2

Plan Medium

/ Workers /

Limit Armack 1
Limit Armacv 3
Limit Coraca 3
Limit Armaca 3
Limit Armcv 3
Limit Corcs 0
Limit Corca 6
Limit Corack 1
Limit Coracv 3
Limit Corck 1
Limit Armch 0
Limit Armmlv 0
Limit Corch 0
Limit Cormlv 0
Limit Szarmacv 1
Limit Szarmcv 3
Limit Szcorck 2
Limit Szcoracv 1
Limit Szcoraca 3
Limit Szarmaca 3
Limit Szarmack 1
Limit Szcorack 1
Limit Szcorca 6
Limit Szcorcs 0

/ Commanders /

Limit Armcom 0
Limit Corcom 0
Limit Armdecom 3
Limit Cordecom 3

/ Aircraft /

Limit Armbrawl 37
Limit Armca 6
Limit Armfig 7
Limit Armatlas 0
Limit Armhawk 15
Limit Armlance 0
Limit Cortitan 0
Limit Armpeep 0
Limit Armpnix 37
Limit Corvalk 0
Limit Armthund 15
Limit Corshad 15
Limit Corfink 0
Limit Corvamp 15
Limit Corveng 7
Limit Corape 37
Limit Corhurc 37
Limit Armseap 0
Limit Armcsa 0
Limit Armsfig 0
Limit Armsehak 0
Limit Armawac 0
Limit Corseap 0
Limit Corcsa 0
Limit Corsfig 0
Limit Corhunt 0
Limit Corawac 0
Limit Szarmca 6
Limit Armsl 0

/ Tanks /

Limit Armcroc 0
Limit Armfav 0
Limit Armflash 15
Limit Armjam 0
Limit Armmart 7
Limit Armmerl 7
Limit Cormart 0
Limit Cormist 30
Limit Cortruck 0
Limit Correap 7
Limit Corvrad 0
Limit Corvroc 15
Limit Armstump 11
Limit Corcv 3
Limit Corseal 0
Limit Corraid 7
Limit Corgator 7
Limit Corgol 15
Limit Coreter 0
Limit Armsam 7
Limit Armseer 0
Limit Corfav 0
Limit Armspid 0
Limit Armbull 7
Limit Armmh 0
Limit Armmanni 0
Limit Armsh 0
Limit Armah 0
Limit Armanac 0
Limit Armthovr 0
Limit Armlatnk 15
Limit Cormh 0
Limit Corsh 15
Limit Corah 0
Limit Corthovr 0
Limit Corsnap 0
Limit Corlevlr 7
Limit Corsent 7
Limit Armyork 7
Limit Szcorcv 3
Limit Szarmaser 3
Limit Szcoreter 0
Limit Szcorspec 3
Limit Szarmjam 0
Limit Armscab 0
Limit Cormabm 0
Limit Tpbeacon 0
Limit Corsting 0

/ Kbots /

Limit Armaser 0
Limit Armfast 3
Limit Armfido 15
Limit Armvader 0
Limit Corak 7
Limit Armham 15
Limit Armjeth 0
Limit Armck 1
Limit Corthud 11
Limit Corstorm 37
Limit Corroach 0
Limit Corcan 7
Limit Corpyro 7
Limit Armrock 15
Limit Armzeus 0
Limit Corspec 0
Limit Corcrash 7
Limit Armpw 37
Limit Armamph 0
Limit Armmav 15
Limit Armwar 37
Limit Armspy 0
Limit Armmark 0
Limit Coramph 0
Limit Corhrk 15
Limit Corkrog 1
Limit Corfast 0
Limit Corsumo 7
Limit Cormort 7
Limit Corvoyr 0
Limit Corspy 0
Limit Armsnipe 3
Limit Szarmck 2
Limit Armfark 3
Limit Armflea 0
Limit Cornecro 0
Limit Dave 0
Limit Shoryu 0

/ Ships, Sub, And Water-units /

Limit Armtl 0
Limit Armcarry 0
Limit Armcrus 0
Limit Armcs 0
Limit Armtship 0
Limit Corcrus 0
Limit Armsubk 0
Limit Corsonar 0
Limit Cormship 0
Limit Cortl 0
Limit Cortide 0
Limit Corbats 0
Limit Armtide 0
Limit Corsub 0
Limit Armmship 0
Limit Cortship 0
Limit Corroy 0
Limit Armpt 0
Limit Armsub 0
Limit Corshark 0
Limit Corpt 0
Limit Armroy 0
Limit Armbats 0
Limit Corcarry 0
Limit Armsonar 0
Limit Armaas 0
Limit Armacsub 0
Limit Armsjam 0
Limit Armscram 0
Limit Armfhlt 0
Limit Armatl 0
Limit Armfrt 0
Limit Armason 0
Limit Corarch 0
Limit Coracsub 0
Limit Corsjam 0
Limit Corfhlt 0
Limit Coratl 0
Limit Corfrt 0
Limit Corason 0
Limit Corssub 0
Limit Szarmcs 0
Limit Sealockew 0
Limit Sealockns 0

/ Defense /

Limit Armamd 0
Limit Armanni 0
Limit Armdrag 0
Limit Armbrtha 1
Limit Armguard 3
Limit Armhlt 7
Limit Armllt 0
Limit Corrl 11
Limit Cordoom 0
Limit Cordrag 0
Limit Corpun 3
Limit Armrl 11
Limit Corllt 0
Limit Corhlt 7
Limit Corint 1
Limit Armarch 0
Limit Armflak 3
Limit Armamb 6
Limit Armvulc 0
Limit Armfdrag 0
Limit Armfort 0
Limit Corvipe 3
Limit Corflak 3
Limit Corbuzz 0
Limit Cortoast 6
Limit Corfdrag 0
Limit Corfort 0
Limit Corplas 2
Limit Zzz 0
Limit Armfortew 0
Limit Armfortns 0
Limit Armbfortns 0
Limit Corefortew 0
Limit Corefortns 0
Limit Corebfortew 0
Limit Corebfortns 0
Limit Armbfortew 0

/ Resources /

Limit Armestor 1
Limit Armfus 0
Limit Armgeo 0
Limit Armmakr 0
Limit Armmex 37
Limit Armmoho 3
Limit Corsolar 15
Limit Cormex 37
Limit Cormoho 3
Limit Armmstor 0
Limit Corwin 7
Limit Corfus 8
Limit Corgeo 0
Limit Corestor 1
Limit Cormstor 0
Limit Cormakr 0
Limit Armwin 7
Limit Armsolar 15
Limit Armuwmex 0
Limit Armmmkr 7
Limit Armuwfus 0
Limit Armfmkr 0
Limit Armuwes 0
Limit Armckfus 0
Limit Armuwms 0
Limit Coruwmex 0
Limit Cormmkr 7
Limit Corfmkr 0
Limit Corckfus 0
Limit Coruwfus 0
Limit Coruwes 0
Limit Coruwms 0
Limit Aaisolrx 37
Limit Aaickfus 7
Limit Caickfus 7
Limit Aaimexx 3
Limit Caisolrx 37
Limit Caimexx 3
Limit Cuwmmkr 0
Limit Auwmmkr 0
Limit Armumme 0
Limit Corumme 0

/ Plants /

Limit Armalab 1
Limit Armap 0
Limit Armasy 0
Limit Armaap 2
Limit Armvp 1
Limit Armavp 0
Limit Coralab 1
Limit Armlab 1
Limit Armsy 0
Limit Corsy 0
Limit Corvp 1
Limit Coravp 0
Limit Corap 37
Limit Corasy 0
Limit Corlab 1
Limit Coraap 2
Limit Armplat 0
Limit Armhp 0
Limit Corplat 0
Limit Corhp 0
Limit Corgant 0
Limit Szarmaap 1
Limit Szcoraap 1
Limit Distribfacility 0
Limit Aseacom 0
Limit Cseacom 0

/ Specialized Units /

Limit Armarad 0
Limit Armasp 0
Limit Armgate 0
Limit Corsilo 0
Limit Corrad 0
Limit Corgate 0
Limit Corfmd 0
Limit Corbuild 0
Limit Corarad 0
Limit Corasp 0
Limit Armsilo 0
Limit Armrad 0
Limit Armss 0
Limit Armscorp 0
Limit Armmine5 0
Limit Armmine2 0
Limit Armmine4 0
Limit Armmine3 0
Limit Armmine1 0
Limit Armtarg 0
Limit Armmine6 0
Limit Armbeac 0
Limit Armdev1 0
Limit Corss 0
Limit Corscorp 0
Limit Cormine2 0
Limit Cormine1 0
Limit Cormine3 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cortarg 0
Limit Cormine6 0
Limit Corbeac 0
Limit Cordev1 0
Limit Cortron 0
Limit Armemp 0
Limit Aaisilo 3
Limit Caisilo 3

Plan Hard

/ Workers /

Limit Armack 2
Limit Armacv 5
Limit Coraca 5
Limit Armaca 5
Limit Armcv 5
Limit Corcs 0
Limit Corca 8
Limit Corack 2
Limit Coracv 5
Limit Corck 2
Limit Armch 0
Limit Armmlv 0
Limit Corch 0
Limit Cormlv 0
Limit Szarmacv 2
Limit Szarmcv 5
Limit Szcorck 3
Limit Szcoracv 2
Limit Szcoraca 5
Limit Szarmaca 5
Limit Szarmack 2
Limit Szcorack 2
Limit Szcorca 8
Limit Szcorcs 0

/ Commanders /

Limit Armcom 0
Limit Corcom 0
Limit Armdecom 5
Limit Cordecom 5

/ Aircraft /

Limit Armbrawl 50
Limit Armca 8
Limit Armfig 10
Limit Armatlas 0
Limit Armhawk 20
Limit Armlance 0
Limit Cortitan 0
Limit Armpeep 0
Limit Armpnix 50
Limit Corvalk 0
Limit Armthund 20
Limit Corshad 20
Limit Corfink 0
Limit Corvamp 20
Limit Corveng 10
Limit Corape 50
Limit Corhurc 50
Limit Armseap 0
Limit Armcsa 0
Limit Armsfig 0
Limit Armsehak 0
Limit Armawac 0
Limit Corseap 0
Limit Corcsa 0
Limit Corsfig 0
Limit Corhunt 0
Limit Corawac 0
Limit Szarmca 8
Limit Armsl 0

/ Tanks /

Limit Armcroc 0
Limit Armfav 0
Limit Armflash 20
Limit Armjam 0
Limit Armmart 10
Limit Armmerl 10
Limit Cormart 0
Limit Cormist 40
Limit Cortruck 0
Limit Correap 10
Limit Corvrad 0
Limit Corvroc 20
Limit Armstump 15
Limit Corcv 5
Limit Corseal 0
Limit Corraid 10
Limit Corgator 10
Limit Corgol 20
Limit Coreter 0
Limit Armsam 10
Limit Armseer 0
Limit Corfav 0
Limit Armspid 0
Limit Armbull 10
Limit Armmh 0
Limit Armmanni 1
Limit Armsh 0
Limit Armah 0
Limit Armanac 0
Limit Armthovr 0
Limit Armlatnk 20
Limit Cormh 0
Limit Corsh 20
Limit Corah 0
Limit Corthovr 0
Limit Corsnap 0
Limit Corlevlr 10
Limit Corsent 10
Limit Armyork 10
Limit Szcorcv 5
Limit Szarmaser 5
Limit Szcoreter 0
Limit Szcorspec 5
Limit Szarmjam 0
Limit Armscab 0
Limit Cormabm 0
Limit Tpbeacon 0
Limit Corsting 0

/ Kbots /

Limit Armaser 0
Limit Armfast 5
Limit Armfido 20
Limit Armvader 0
Limit Corak 10
Limit Armham 20
Limit Armjeth 0
Limit Armck 2
Limit Corthud 15
Limit Corstorm 50
Limit Corroach 0
Limit Corcan 10
Limit Corpyro 10
Limit Armrock 20
Limit Armzeus 0
Limit Corspec 0
Limit Corcrash 10
Limit Armpw 50
Limit Armamph 0
Limit Armmav 20
Limit Armwar 50
Limit Armspy 0
Limit Armmark 0
Limit Coramph 0
Limit Corhrk 20
Limit Corkrog 2
Limit Corfast 0
Limit Corsumo 10
Limit Cormort 10
Limit Corvoyr 0
Limit Corspy 0
Limit Armsnipe 5
Limit Szarmck 3
Limit Armfark 5
Limit Armflea 0
Limit Cornecro 0
Limit Dave 0
Limit Shoryu 0

/ Ships, Sub, And Water-units /

Limit Armtl 0
Limit Armcarry 0
Limit Armcrus 0
Limit Armcs 0
Limit Armtship 0
Limit Corcrus 0
Limit Armsubk 0
Limit Corsonar 0
Limit Cormship 0
Limit Cortl 0
Limit Cortide 0
Limit Corbats 0
Limit Armtide 0
Limit Corsub 0
Limit Armmship 0
Limit Cortship 0
Limit Corroy 0
Limit Armpt 0
Limit Armsub 0
Limit Corshark 0
Limit Corpt 0
Limit Armroy 0
Limit Armbats 0
Limit Corcarry 0
Limit Armsonar 0
Limit Armaas 0
Limit Armacsub 0
Limit Armsjam 0
Limit Armscram 0
Limit Armfhlt 0
Limit Armatl 0
Limit Armfrt 0
Limit Armason 0
Limit Corarch 0
Limit Coracsub 0
Limit Corsjam 0
Limit Corfhlt 0
Limit Coratl 0
Limit Corfrt 0
Limit Corason 0
Limit Corssub 0
Limit Szarmcs 0
Limit Sealockew 0
Limit Sealockns 0

/ Defense /

Limit Armamd 0
Limit Armanni 1
Limit Armdrag 0
Limit Armbrtha 2
Limit Armguard 5
Limit Armhlt 10
Limit Armllt 0
Limit Corrl 15
Limit Cordoom 1
Limit Cordrag 0
Limit Corpun 5
Limit Armrl 15
Limit Corllt 0
Limit Corhlt 10
Limit Corint 2
Limit Armarch 0
Limit Armflak 5
Limit Armamb 8
Limit Armvulc 1
Limit Armfdrag 0
Limit Armfort 0
Limit Corvipe 5
Limit Corflak 5
Limit Corbuzz 1
Limit Cortoast 8
Limit Corfdrag 0
Limit Corfort 0
Limit Corplas 3
Limit Zzz 0
Limit Armfortew 0
Limit Armfortns 0
Limit Armbfortns 0
Limit Corefortew 0
Limit Corefortns 0
Limit Corebfortew 0
Limit Corebfortns 0
Limit Armbfortew 0

/ Resources /

Limit Armestor 2
Limit Armfus 1
Limit Armgeo 0
Limit Armmakr 0
Limit Armmex 50
Limit Armmoho 5
Limit Corsolar 20
Limit Cormex 50
Limit Cormoho 5
Limit Armmstor 0
Limit Corwin 10
Limit Corfus 11
Limit Corgeo 0
Limit Corestor 2
Limit Cormstor 0
Limit Cormakr 0
Limit Armwin 10
Limit Armsolar 20
Limit Armuwmex 0
Limit Armmmkr 10
Limit Armuwfus 0
Limit Armfmkr 0
Limit Armuwes 0
Limit Armckfus 0
Limit Armuwms 0
Limit Coruwmex 0
Limit Cormmkr 10
Limit Corfmkr 0
Limit Corckfus 0
Limit Coruwfus 0
Limit Coruwes 0
Limit Coruwms 0
Limit Aaisolrx 50
Limit Aaickfus 10
Limit Caickfus 10
