// Date: 02-26-2001
// Auth: GeistHund222
// Name: moira AI
// Used: Small AI Designer Build 1.1.3

/ Build Priorities  /
Weight Aaimexx 1
Weight Caisolrx 1
Weight Caimexx 1

/ Plants /

Weight Armalab 4
Weight Armap 1
Weight Armasy 5
Weight Armaap 3
Weight Armvp 3
Weight Armavp 1
Weight Coralab 1
Weight Armlab 5
Weight Armsy 4
Weight Corsy 4
Weight Corvp 5
Weight Coravp 5
Weight Corap 3
Weight Corasy 5
Weight Corlab 1
Weight Coraap 3
Weight Armplat 0.25
Weight Armhp 2
Weight Corplat 0.25
Weight Corhp 2
Weight Corgant 0
Weight Szarmaap 3
Weight Szcoraap 3
Weight Distribfacility 0
Weight Aseacom 0
Weight Cseacom 0
Weight Armaivp 3

/ Specialized Units /

Weight Armarad 0
Weight Armasp 0.15
Weight Armgate 0
Weight Corsilo 0
Weight Corrad 0
Weight Corgate 0
Weight Corfmd 0
Weight Corbuild 0
Weight Corarad 0
Weight Corasp 0.15
Weight Armsilo 0
Weight Armrad 0
Weight Armss 0
Weight Armscorp 0
Weight Armmine5 0
Weight Armmine2 0
Weight Armmine4 0
Weight Armmine3 0
Weight Armmine1 0
Weight Armtarg 0.1
Weight Armmine6 0
Weight Armbeac 0
Weight Armdev1 0
Weight Corss 1
Weight Corscorp 0
Weight Cormine2 0
Weight Cormine1 0
Weight Cormine3 0
Weight Cormine4 0
Weight Cormine5 0
Weight Cortarg 0.1
Weight Cormine6 0
Weight Corbeac 0
Weight Cordev1 0
Weight Cortron 0
Weight Armemp 0
Weight Aaisilo 6
Weight Caisilo 6
Weight Aaiamd 0
Weight Caifmd 0

Plan Easy

/ Workers /

Limit Armack 2
Limit Armacv 2
Limit Coraca 7
Limit Armaca 2
Limit Armcv 2
Limit Corcs 5
Limit Corca 7
Limit Corack 1
Limit Coracv 5
Limit Corck 1
Limit Armch 2
Limit Armmlv 0
Limit Corch 2
Limit Cormlv 0
Limit Szarmacv 2
Limit Szarmcv 2
Limit Szcorck 1
Limit Szcoracv 5
Limit Szcoraca 5
Limit Szarmaca 2
Limit Szarmack 2
Limit Szcorack 1
Limit Szcorca 7
Limit Szcorcs 5

/ Commanders /

Limit Armcom 0
Limit Corcom 0
Limit Armdecom 1
Limit Cordecom 1

/ Aircraft /

Limit Armbrawl 15
Limit Armca 7
Limit Armfig 2
Limit Armatlas 0
Limit Armhawk 25
Limit Armlance 7
Limit Cortitan 7
Limit Armpeep 0
Limit Armpnix 15
Limit Corvalk 0
Limit Armthund 25
Limit Corshad 25
Limit Corfink 0
Limit Corvamp 25
Limit Corveng 5
Limit Corape 25
Limit Corhurc 25
Limit Armseap 25
Limit Armcsa 5
Limit Armsfig 25
Limit Armsehak 0
Limit Armawac 0
Limit Corseap 25
Limit Corcsa 5
Limit Corsfig 25
Limit Corhunt 0
Limit Corawac 0
Limit Szarmca 7
Limit Armsl 0

/ Tanks /

Limit Armcroc 10
Limit Armfav 0
Limit Armflash 0
Limit Armjam 0
Limit Armmart 0
Limit Armmerl 0
Limit Cormart 0
Limit Cormist 0
Limit Cortruck 0
Limit Correap 0
Limit Corvrad 0
Limit Corvroc 0
Limit Armstump 0
Limit Corcv 2
Limit Corseal 10
Limit Corraid 0
Limit Corgator 0
Limit Corgol 0
Limit Coreter 0
Limit Armsam 0
Limit Armseer 0
Limit Corfav 0
Limit Armspid 0
Limit Armbull 0
Limit Armmh 25
Limit Armmanni 0
Limit Armsh 0
Limit Armah 25
Limit Armanac 25
Limit Armthovr 0
Limit Armlatnk 0
Limit Cormh 25
Limit Corsh 25
Limit Corah 25
Limit Corthovr 0
Limit Corsnap 25
Limit Corlevlr 0
Limit Corsent 5
Limit Armyork 5
Limit Szcorcv 2
Limit Szarmaser 0
Limit Szcoreter 1
Limit Szcorspec 0
Limit Szarmjam 1
Limit Aaijam 0
Limit Caieter 0
Limit Armscab 0
Limit Tpbeacon 0
Limit Corsting 0
Limit Cormabm 0

/ Kbots /

Limit Armaser 0
Limit Armfast 0
Limit Armfido 0
Limit Armvader 0
Limit Corak 0
Limit Armham 0
Limit Armjeth 5
Limit Armck 2
Limit Corthud 0
Limit Corstorm 0
Limit Corroach 0
Limit Corcan 0
Limit Corpyro 0
Limit Armrock 0
Limit Armzeus 0
Limit Corspec 0
Limit Corcrash 5
Limit Armpw 0
Limit Armamph 25
Limit Armmav 2
Limit Armwar 0
Limit Armspy 0
Limit Armmark 0
Limit Coramph 25
Limit Corhrk 0
Limit Corkrog 0
Limit Corfast 0
Limit Corsumo 0
Limit Cormort 0
Limit Corvoyr 0
Limit Corspy 0
Limit Armsnipe 0
Limit Szarmck 2
Limit Armfark 7
Limit Dave 0
Limit Cornecro 0
Limit Armflea 0
Limit Shoryu 0

/ Ships, Sub, And Water-units /

Limit Armtl 5
Limit Armcarry 17
Limit Armcrus 10
Limit Armcs 5
Limit Armtship 0
Limit Corcrus 10
Limit Armsubk 5
Limit Corsonar 0
Limit Cormship 5
Limit Cortl 5
Limit Cortide 25
Limit Corbats 2
Limit Armtide 25
Limit Corsub 10
Limit Armmship 5
Limit Cortship 0
Limit Corroy 25
Limit Armpt 25
Limit Armsub 5
Limit Corshark 0
Limit Corpt 25
Limit Armroy 25
Limit Armbats 2
Limit Corcarry 17
Limit Armsonar 0
Limit Armaas 7
Limit Armacsub 2
Limit Armsjam 2
Limit Armscram 2
Limit Armfhlt 10
Limit Armatl 0
Limit Armfrt 25
Limit Armason 0
Limit Corarch 7
Limit Coracsub 2
Limit Corsjam 2
Limit Corfhlt 10
Limit Coratl 0
Limit Corfrt 25
Limit Corason 0
Limit Corssub 2
Limit Szarmcs 5
Limit Sealockew 0
Limit Sealockns 0

/ Defense /

Limit Armamd 0
Limit Armanni 0
Limit Armdrag 0
Limit Armbrtha 0
Limit Armguard 2
Limit Armhlt 7
Limit Armllt 0
Limit Corrl 25
Limit Cordoom 1
Limit Cordrag 0
Limit Corpun 2
Limit Armrl 25
Limit Corllt 0
Limit Corhlt 7
Limit Corint 0
Limit Armarch 0
Limit Armflak 7
Limit Armamb 0
Limit Armvulc 0
Limit Armfdrag 0
Limit Armfort 0
Limit Corvipe 0
Limit Corflak 7
Limit Corbuzz 0
Limit Cortoast 0
Limit Corfdrag 0
Limit Corfort 0
Limit Zzz 0
Limit Corplas 0
Limit Armfortew 0
Limit Armfortns 0
Limit Armbfortns 0
Limit Corefortew 0
Limit Corefortns 0
Limit Corebfortew 0
Limit Corebfortns 0
Limit Armbfortew 0

/ Resources /

Limit Armestor 2
Limit Armfus 0
Limit Armgeo 25
Limit Armmakr 2
Limit Armmex 25
Limit Armmoho 2
Limit Corsolar 5
Limit Cormex 25
Limit Cormoho 2
Limit Armmstor 2
Limit Corwin 2
Limit Corfus 0
Limit Corgeo 25
Limit Corestor 2
Limit Cormstor 2
Limit Cormakr 2
Limit Armwin 2
Limit Armsolar 5
Limit Armuwmex 0
Limit Armmmkr 5
Limit Armuwfus 0
Limit Armfmkr 12
Limit Armuwes 2
Limit Armckfus 0
Limit Armuwms 1
Limit Coruwmex 0
Limit Cormmkr 5
Limit Corfmkr 12
Limit Corckfus 0
Limit Coruwfus 0
Limit Coruwes 2
Limit Coruwms 1
Limit Aaickfus 7
Limit Caickfus 7
Limit Cuwmmkr 0
Limit Auwmmkr 0
Limit Quark 0
Limit Fluxor 0
Limit Ackfus 0
Limit Armumme 0
Limit Corumme 0
Limit Aaisolrx 0
Limit Aaimexx 0
Limit Caisolrx 0
Limit Caimexx 0

/ Plants /

Limit Armalab 2
Limit Armap 2
Limit Armasy 3
Limit Armaap 1
Limit Armvp 0
Limit Armavp 0
Limit Coralab 0
Limit Armlab 0
Limit Armsy 2
Limit Corsy 2
Limit Corvp 0
Limit Coravp 1
Limit Corap 25
Limit Corasy 3
Limit Corlab 0
Limit Coraap 1
Limit Armplat 1
Limit Armhp 2
Limit Corplat 1
Limit Corhp 2
Limit Corgant 0
Limit Szarmaap 1
Limit Szcoraap 1
Limit Distribfacility 0
Limit Aseacom 0
Limit Cseacom 0
Limit Armaivp 0

/ Specialized Units /

Limit Armarad 0
Limit Armasp 1
Limit Armgate 0
Limit Corsilo 0
Limit Corrad 0
Limit Corgate 0
Limit Corfmd 0
Limit Corbuild 0
Limit Corarad 0
Limit Corasp 1
Limit Armsilo 0
Limit Armrad 0
Limit Armss 0
Limit Armscorp 0
Limit Armmine5 0
Limit Armmine2 0
Limit Armmine4 0
Limit Armmine3 0
Limit Armmine1 0
Limit Armtarg 0
Limit Armmine6 0
Limit Armbeac 0
Limit Armdev1 0
Limit Corss 2
Limit Corscorp 0
Limit Cormine2 0
Limit Cormine1 0
Limit Cormine3 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cortarg 0
Limit Cormine6 0
Limit Corbeac 0
Limit Cordev1 0
Limit Cortron 0
Limit Armemp 0
Limit Aaisilo 5
Limit Caisilo 5
Limit Aaiamd 0
Limit Caifmd 0

Plan Medium

/ Workers /

Limit Armack 3
Limit Armacv 3
Limit Coraca 11
Limit Armaca 3
Limit Armcv 3
Limit Corcs 7
Limit Corca 11
Limit Corack 1
Limit Coracv 7
Limit Corck 2
Limit Armch 3
Limit Armmlv 0
Limit Corch 3
Limit Cormlv 0
Limit Szarmacv 3
Limit Szarmcv 3
Limit Szcorck 2
Limit Szcoracv 7
Limit Szcoraca 7
Limit Szarmaca 3
Limit Szarmack 3
Limit Szcorack 1
Limit Szcorca 11
Limit Szcorcs 7

/ Commanders /

Limit Armcom 0
Limit Corcom 0
Limit Armdecom 1
Limit Cordecom 1

/ Aircraft /

Limit Armbrawl 22
Limit Armca 11
Limit Armfig 3
Limit Armatlas 0
Limit Armhawk 37
Limit Armlance 11
Limit Cortitan 11
Limit Armpeep 0
Limit Armpnix 22
Limit Corvalk 0
Limit Armthund 37
Limit Corshad 37
Limit Corfink 0
Limit Corvamp 37
Limit Corveng 7
Limit Corape 37
Limit Corhurc 37
Limit Armseap 37
Limit Armcsa 7
Limit Armsfig 37
Limit Armsehak 0
Limit Armawac 0
Limit Corseap 37
Limit Corcsa 7
Limit Corsfig 37
Limit Corhunt 0
Limit Corawac 0
Limit Szarmca 11
Limit Armsl 0

/ Tanks /

Limit Armcroc 15
Limit Armfav 0
Limit Armflash 0
Limit Armjam 0
Limit Armmart 0
Limit Armmerl 0
Limit Cormart 0
Limit Cormist 0
Limit Cortruck 0
Limit Correap 0
Limit Corvrad 0
Limit Corvroc 0
Limit Armstump 0
Limit Corcv 3
Limit Corseal 15
Limit Corraid 0
Limit Corgator 0
Limit Corgol 0
Limit Coreter 0
Limit Armsam 0
Limit Armseer 0
Limit Corfav 0
Limit Armspid 0
Limit Armbull 0
Limit Armmh 37
Limit Armmanni 0
Limit Armsh 0
Limit Armah 37
Limit Armanac 37
Limit Armthovr 0
Limit Armlatnk 0
Limit Cormh 37
Limit Corsh 37
Limit Corah 37
Limit Corthovr 0
Limit Corsnap 37
Limit Corlevlr 0
Limit Corsent 7
Limit Armyork 7
Limit Szcorcv 3
Limit Szarmaser 0
Limit Szcoreter 2
Limit Szcorspec 0
Limit Szarmjam 2
Limit Aaijam 0
Limit Caieter 0
Limit Armscab 0
Limit Tpbeacon 0
Limit Corsting 0
Limit Cormabm 0

/ Kbots /

Limit Armaser 0
Limit Armfast 0
Limit Armfido 0
Limit Armvader 0
Limit Corak 0
Limit Armham 0
Limit Armjeth 7
Limit Armck 3
Limit Corthud 0
Limit Corstorm 0
Limit Corroach 0
Limit Corcan 0
Limit Corpyro 0
Limit Armrock 0
Limit Armzeus 0
Limit Corspec 0
Limit Corcrash 7
Limit Armpw 0
Limit Armamph 37
Limit Armmav 3
Limit Armwar 0
Limit Armspy 0
Limit Armmark 0
Limit Coramph 37
Limit Corhrk 0
Limit Corkrog 0
Limit Corfast 0
Limit Corsumo 0
Limit Cormort 0
Limit Corvoyr 0
Limit Corspy 0
Limit Armsnipe 0
Limit Szarmck 3
Limit Armfark 11
Limit Dave 0
Limit Cornecro 0
Limit Armflea 0
Limit Shoryu 0

/ Ships, Sub, And Water-units /

Limit Armtl 7
Limit Armcarry 26
Limit Armcrus 15
Limit Armcs 7
Limit Armtship 0
Limit Corcrus 15
Limit Armsubk 7
Limit Corsonar 0
Limit Cormship 7
Limit Cortl 7
Limit Cortide 37
Limit Corbats 3
Limit Armtide 37
Limit Corsub 15
Limit Armmship 7
Limit Cortship 0
Limit Corroy 37
Limit Armpt 37
Limit Armsub 7
Limit Corshark 0
Limit Corpt 37
Limit Armroy 37
Limit Armbats 3
Limit Corcarry 26
Limit Armsonar 0
Limit Armaas 11
Limit Armacsub 3
Limit Armsjam 3
Limit Armscram 3
Limit Armfhlt 15
Limit Armatl 0
Limit Armfrt 37
Limit Armason 0
Limit Corarch 11
Limit Coracsub 3
Limit Corsjam 3
Limit Corfhlt 15
Limit Coratl 0
Limit Corfrt 37
Limit Corason 0
Limit Corssub 3
Limit Szarmcs 7
Limit Sealockew 0
Limit Sealockns 0

/ Defense /

Limit Armamd 0
Limit Armanni 0
Limit Armdrag 0
Limit Armbrtha 0
Limit Armguard 3
Limit Armhlt 11
Limit Armllt 0
Limit Corrl 37
Limit Cordoom 1
Limit Cordrag 0
Limit Corpun 3
Limit Armrl 37
Limit Corllt 0
Limit Corhlt 11
Limit Corint 0
Limit Armarch 0
Limit Armflak 11
Limit Armamb 0
Limit Armvulc 0
Limit Armfdrag 0
Limit Armfort 0
Limit Corvipe 0
Limit Corflak 11
Limit Corbuzz 0
Limit Cortoast 0
Limit Corfdrag 0
Limit Corfort 0
Limit Zzz 0
Limit Corplas 0
Limit Armfortew 0
Limit Armfortns 0
Limit Armbfortns 0
Limit Corefortew 0
Limit Corefortns 0
Limit Corebfortew 0
Limit Corebfortns 0
Limit Armbfortew 0

/ Resources /

Limit Armestor 3
Limit Armfus 0
Limit Armgeo 37
Limit Armmakr 3
Limit Armmex 37
Limit Armmoho 3
Limit Corsolar 7
Limit Cormex 37
Limit Cormoho 3
Limit Armmstor 3
Limit Corwin 3
Limit Corfus 0
Limit Corgeo 37
Limit Corestor 3
Limit Cormstor 3
Limit Cormakr 3
Limit Armwin 3
Limit Armsolar 7
Limit Armuwmex 0
Limit Armmmkr 7
Limit Armuwfus 0
Limit Armfmkr 18
Limit Armuwes 3
Limit Armckfus 0
Limit Armuwms 2
Limit Coruwmex 0
Limit Cormmkr 7
Limit Corfmkr 18
Limit Corckfus 0
Limit Coruwfus 0
Limit Coruwes 3
Limit Coruwms 2
Limit Aaickfus 11
Limit Caickfus 11
Limit Cuwmmkr 0
Limit Auwmmkr 0
Limit Quark 0
Limit Fluxor 0
Limit Ackfus 0
Limit Armumme 0
Limit Corumme 0
Limit Aaisolrx 0
Limit Aaimexx 0
Limit Caisolrx 0
Limit Caimexx 0

/ Plants /

Limit Armalab 3
Limit Armap 3
Limit Armasy 4
Limit Armaap 1
Limit Armvp 0
Limit Armavp 0
Limit Coralab 0
Limit Armlab 0
Limit Armsy 3
Limit Corsy 3
Limit Corvp 0
Limit Coravp 2
Limit Corap 37
Limit Corasy 4
Limit Corlab 0
Limit Coraap 2
Limit Armplat 2
Limit Armhp 3
Limit Corplat 2
Limit Corhp 3
Limit Corgant 0
Limit Szarmaap 2
Limit Szcoraap 2
Limit Distribfacility 0
Limit Aseacom 0
Limit Cseacom 0
Limit Armaivp 0

/ Specialized Units /

Limit Armarad 0
Limit Armasp 2
Limit Armgate 0
Limit Corsilo 0
Limit Corrad 0
Limit Corgate 0
Limit Corfmd 0
Limit Corbuild 0
Limit Corarad 0
Limit Corasp 2
Limit Armsilo 0
Limit Armrad 0
Limit Armss 0
Limit Armscorp 0
Limit Armmine5 0
Limit Armmine2 0
Limit Armmine4 0
Limit Armmine3 0
Limit Armmine1 0
Limit Armtarg 0
Limit Armmine6 0
Limit Armbeac 0
Limit Armdev1 0
Limit Corss 3
Limit Corscorp 0
Limit Cormine2 0
Limit Cormine1 0
Limit Cormine3 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cortarg 0
Limit Cormine6 0
Limit Corbeac 0
Limit Cordev1 0
Limit Cortron 0
Limit Armemp 0
Limit Aaisilo 7
Limit Caisilo 7
Limit Aaiamd 0
Limit Caifmd 0

Plan Hard

/ Workers /

Limit Armack 5
Limit Armacv 5
Limit Coraca 15
Limit Armaca 5
Limit Armcv 5
Limit Corcs 10
Limit Corca 15
Limit Corack 2
Limit Coracv 10
Limit Corck 3
Limit Armch 5
Limit Armmlv 0
Limit Corch 5
Limit Cormlv 0
Limit Szarmacv 5
Limit Szarmcv 5
Limit Szcorck 3
Limit Szcoracv 10
Limit Szcoraca 10
Limit Szarmaca 5
Limit Szarmack 5
Limit Szcorack 2
Limit Szcorca 15
Limit Szcorcs 10

/ Commanders /

Limit Armcom 0
Limit Corcom 0
Limit Armdecom 2
Limit Cordecom 2

/ Aircraft /

Limit Armbrawl 30
Limit Armca 15
Limit Armfig 5
Limit Armatlas 0
Limit Armhawk 50
Limit Armlance 15
Limit Cortitan 15
Limit Armpeep 0
Limit Armpnix 30
Limit Corvalk 0
Limit Armthund 50
Limit Corshad 50
Limit Corfink 0
Limit Corvamp 50
Limit Corveng 10
Limit Corape 50
Limit Corhurc 50
Limit Armseap 50
Limit Armcsa 10
Limit Armsfig 50
Limit Armsehak 0
Limit Armawac 0
Limit Corseap 50
Limit Corcsa 10
Limit Corsfig 50
Limit Corhunt 0
Limit Corawac 0
Limit Szarmca 15
Limit Armsl 0

/ Tanks /

Limit Armcroc 20
Limit Armfav 0
Limit Armflash 0
Limit Armjam 0
Limit Armmart 0
Limit Armmerl 0
Limit Cormart 0
Limit Cormist 0
Limit Cortruck 0
Limit Correap 0
Limit Corvrad 0
Limit Corvroc 0
Limit Armstump 0
Limit Corcv 5
Limit Corseal 20
Limit Corraid 0
Limit Corgator 0
Limit Corgol 0
Limit Coreter 0
Limit Armsam 0
Limit Armseer 0
Limit Corfav 0
Limit Armspid 0
Limit Armbull 0
Limit Armmh 50
Limit Armmanni 0
Limit Armsh 0
Limit Armah 50
Limit Armanac 50
Limit Armthovr 0
Limit Armlatnk 0
Limit Cormh 50
Limit Corsh 50
Limit Corah 50
Limit Corthovr 0
Limit Corsnap 50
Limit Corlevlr 0
Limit Corsent 10
Limit Armyork 10
Limit Szcorcv 5
Limit Szarmaser 0
Limit Szcoreter 3
Limit Szcorspec 0
Limit Szarmjam 3
Limit Aaijam 0
Limit Caieter 0
Limit Armscab 0
Limit Tpbeacon 0
Limit Corsting 0
Limit Cormabm 0

/ Kbots /

Limit Armaser 0
Limit Armfast 0
Limit Armfido 0
Limit Armvader 0
Limit Corak 0
Limit Armham 0
Limit Armjeth 10
Limit Armck 5
Limit Corthud 0
Limit Corstorm 0
Limit Corroach 0
Limit Corcan 0
Limit Corpyro 0
Limit Armrock 0
Limit Armzeus 0
Limit Corspec 0
Limit Corcrash 10
Limit Armpw 0
Limit Armamph 50
Limit Armmav 5
Limit Armwar 0
Limit Armspy 0
Limit Armmark 0
Limit Coramph 50
Limit Corhrk 0
Limit Corkrog 0
Limit Corfast 0
Limit Corsumo 0
Limit Cormort 0
Limit Corvoyr 0
Limit Corspy 0
Limit Armsnipe 0
Limit Szarmck 5
Limit Armfark 15
Limit Dave 0
Limit Cornecro 1
Limit Armflea 0
Limit Shoryu 0

/ Ships, Sub, And Water-units /

Limit Armtl 10
Limit Armcarry 35
Limit Armcrus 20
Limit Armcs 10
Limit Armtship 0
Limit Corcrus 20
Limit Armsubk 10
Limit Corsonar 0
Limit Cormship 10
Limit Cortl 10
Limit Cortide 50
Limit Corbats 5
Limit Armtide 50
Limit Corsub 20
Limit Armmship 10
Limit Cortship 0
Limit Corroy 50
Limit Armpt 50
Limit Armsub 10
Limit Corshark 0
Limit Corpt 50
Limit Armroy 50
Limit Armbats 5
Limit Corcarry 35
Limit Armsonar 0
Limit Armaas 15
Limit Armacsub 5
Limit Armsjam 5
Limit Armscram 5
Limit Armfhlt 20
Limit Armatl 0
Limit Armfrt 50
Limit Armason 0
Limit Corarch 15
Limit Coracsub 5
Limit Corsjam 5
Limit Corfhlt 20
Limit Coratl 0
Limit Corfrt 50
Limit Corason 0
Limit Corssub 5
Limit Szarmcs 10
Limit Sealockew 0
Limit Sealockns 0

/ Defense /

Limit Armamd 0
Limit Armanni 0
Limit Armdrag 0
Limit Armbrtha 0
Limit Armguard 5
Limit Armhlt 15
Limit Armllt 0
Limit Corrl 50
Limit Cordoom 2
Limit Cordrag 0
Limit Corpun 5
Limit Armrl 50
Limit Corllt 0
Limit Corhlt 15
Limit Corint 1
Limit Armarch 0
Limit Armflak 15
Limit Armamb 0
Limit Armvulc 0
Limit Armfdrag 0
Limit Armfort 0
Limit Corvipe 0
Limit Corflak 15
Limit Corbuzz 1
Limit Cortoast 0
Limit Corfdrag 0
Limit Corfort 0
Limit Zzz 0
Limit Corplas 0
Limit Armfortew 0
Limit Armfortns 0
Limit Armbfortns 0
Limit Corefortew 0
Limit Corefortns 0
Limit Corebfortew 0
Limit Corebfortns 0
Limit Armbfortew 0

/ Resources /

Limit Armestor 5
Limit Armfus 0
Limit Armgeo 50
Limit Armmakr 5
Limit Armmex 50
Limit Armmoho 5
Limit Corsolar 10
Limit Cormex 50
Limit Cormoho 5
Limit Armmstor 5
Limit Corwin 5
Limit Corfus 0
Limit Corgeo 50
Limit Corestor 5
Limit Cormstor 5
Limit Cormakr 5
Limit Armwin 5
Limit Armsolar 10
Limit Armuwmex 0
Limit Armmmkr 10
Limit Armuwfus 1
Limit Armfmkr 25
