// Fallout2 AI v1.5

// Easy

plan easy

Weight AAIPNIX2 2
Weight AAITHUND 2
Weight AAIDECOM 0.1
Weight AAICROC 2
Weight AAIFLASH 2
Weight AAIPW 2

Weight nukeC 2
Weight CAIFUS 9
Weight CAIMEX 4
Weight CAIMEXX 4
Weight CAISOLRX 2
Weight CAISOLAR 1.2
Weight CAIMMKR 2
Weight CAITIDE 2
Weight CAITRON 2
Weight CAISILO 3
Weight CAILAB 9
Weight CAIVP 9
Weight CAIAP 2
Weight CAISY 2
Weight CAIALAB 9
Weight CAIAAP 9
Weight CAIAVP 9
Weight CAIASY 9
Weight CAICV 9
Weight CAICK 9
Weight CAICA 9
Weight CAICS 9
Weight CAIACA 9
Weight CAIACV 9
Weight CAIACK 9
Weight CAIGANT 3
Weight CAIAPE 4
Weight CAIHURC1 2
Weight CAIHURC2 2
Weight CAISHAD 2
Weight CAIDECOM 0.1
Weight CAIGATOR 2
Weight CAISEAL 2
Weight CAIAK 2

// ARM
// Limits: Aircraft, Hovercraft, K-bots, Ships, Seaplanes, Vehicles, Buildings, Naval Buildings

Limit ARMATLAS 0
Limit ARMAWAC 0
Limit ARMLANCE 8
Limit ARMPEEP 0
Limit ARMHAWK 100
Limit ARMSEAP 12
Limit ARMPNIX 20
Limit ARMTHUND 20
Limit ARMSEHAK 0
Limit ARMBRAWL 50

Limit ARMAH 20
Limit ARMANAC 16
Limit ARMMH 12
Limit ARMSH 0
Limit ARMTHOVR 0

Limit ARMAMPH 0
Limit ARMASER 0
Limit ARMDECOM 0
Limit ARMFAST 0
Limit ARMFIDO 0
Limit ARMHAM 0
Limit ARMJETH 0
Limit ARMMARK 0
Limit ARMPW 0
Limit ARMRECTR 0
Limit ARMROCKO 0
Limit ARMSCORP 0
Limit ARMSEER 0
Limit ARMSNIPE 0
Limit ARMSPY 0
Limit ARMVADER 0
Limit ARMWAR 0
Limit ARMZEUS 0

Limit ARMAAS 12
Limit ARMBATS 8
Limit ARMCARRY 0
Limit ARMCRUS 18
Limit ARMMSHIP 2
Limit ARMPT 24
Limit ARMROY 12
Limit ARMSCRAM 3
Limit ARMSJAM 0
Limit ARMSUB 12
Limit ARMSUBK 5
Limit ARMTSHIP 0

Limit ARMSEAP 8
Limit ARMSEHAK 0
Limit ARMSFIG 30

Limit ARMBULL 0
Limit ARMCROC 0
Limit ARMFAV 0
Limit ARMFLASH 0
Limit ARMJAM 0
Limit ARMLATNK 0
Limit ARMMANNI 0
Limit ARMMART 0
Limit ARMMERL 0
Limit ARMMLV 0
Limit ARMSAM 0
Limit ARMSPID 0
Limit ARMSTUMP 0
Limit ARMYORK 0

Limit ARMAMB 0
Limit ARMAMD 0
Limit ARMANNI 2
Limit ARMARAD 0
Limit ARMASP 1
Limit ARMBEAC 0
Limit ARMBRTHA 2
Limit ARMCKFUS 0
Limit ARMDEV1 0
Limit ARMDRAG 0
Limit ARMEMP 0
Limit ARMESTOR 0
Limit ARMFLAK 12
Limit ARMFORT 0
Limit ARMFUS 3
Limit ARMGEO 0
Limit ARMGUARD 12
Limit ARMHLT 0
Limit ARMLLT 0
Limit ARMMAKR 0
Limit ARMMEX 0
Limit ARMMINE1 0
Limit ARMMINE2 0
Limit ARMMINE3 0
Limit ARMMINE4 0
Limit ARMMINE5 0
Limit ARMMINE6 0
Limit ARMMMKR 0
Limit ARMMOHO 0
Limit ARMMSTOR 0
Limit ARMRAD 0
Limit ARMSILO 0
Limit ARMRL 24
Limit ARMSOLAR 0
Limit ARMTARG 0
Limit ARMVULC 1
Limit ARMWIN 0

Limit ARMASON 0
Limit ARMATL 5
Limit ARMFDRAG 0
Limit ARMFHLT 10
Limit ARMFMKR 0
Limit ARMFRT 12
Limit ARMSONAR 0
Limit ARMTIDE 0
Limit ARMTL 0
Limit ARMUWES 0
Limit ARMUWFUS 0
Limit ARMUWMEX 0
Limit ARMUWMS 0

//CORE
// Limits: Aircraft, Hovercraft, K-bots, Ships, Seaplanes, Vehicles, Buildings, Naval Buildings

Limit CORAPE 50
Limit CORAWAC 0
Limit CORFINK 0
Limit CORHURC 20
Limit CORSHAD 20
Limit CORTITAN 8
Limit CORVALK 0
Limit CORVAMP 100
Limit CORVENG 10

Limit CORAMPH 0
Limit CORAK 0
Limit CORCAN 0
Limit CORCRASH 0
Limit CORDECOM 0
Limit CORFAST 0
Limit CORKROG 0
Limit CORHRK  0
Limit CORMORT 0
Limit CORNECRO 0
Limit CORPYRO 0
Limit CORROACH 0
Limit CORSCORP 0
Limit CORSPEC 0
Limit CORSPY 0
Limit CORSTORM 0
Limit CORSUMO 0
Limit CORTHUD 0
Limit CORVOYR 0

Limit CORAH 20
Limit CORMH 12
Limit CORSH 0
Limit CORSNAP 16
Limit CORTHOVR 0

Limit CORARCH 12
Limit CORBATS 8
Limit CORCARRY 0
Limit CORCRUS 18
Limit CORMSHIP 2
Limit CORPT 24
Limit CORROY 12
Limit CORSHARK 5
Limit CORSJAM 0
Limit CORSS 0
Limit CORSSUB 5
Limit CORSUB 12
Limit CORTSHIP 0

Limit CORHUNT 0
Limit CORSEAP 12
Limit CORSFIG 15

Limit CORETER 0
Limit CORFAV 0
Limit CORFING 0
Limit CORGATOR 0
Limit CORGOL 0
Limit CORLEVLR 0
Limit CORMART 0
Limit CORMIST 0
Limit CORMLV 0
Limit CORRAID 0
Limit CORREAP 0
Limit CORSEAL 0
Limit CORSENT 0
Limit CORTRUCK 0
Limit CORVRAD 0
Limit CORVROC 0

Limit CORARAD 0
Limit CORASP 2
Limit CORBUZZ 1
Limit CORCKFUS 2
Limit CORDEV1 0
Limit CORDOOM 2
Limit CORDRAG 0
Limit CORESTOR 0
Limit CORFDRAG 0
Limit CORFMD 0
Limit CORFLAK 12
Limit CORFORT 0
Limit CORFUS 3
Limit CORGEO 0
Limit CORHLT 0
Limit CORINT 3
Limit CORLLT 0
Limit CORMAKR 0
Limit CORMEX 0
Limit CORMINE1 0
Limit CORMINE2 0
Limit CORMINE3 0
Limit CORMINE4 0
Limit CORMINE5 0
Limit CORMINE6 0
Limit CORMMKR 0
Limit CORMOHO 0
Limit CORMSTOR 0
Limit CORPUN 0
Limit CORRAD 0
Limit CORRL 25
Limit CORSILO 0
Limit CORSNIPE 0
Limit CORSOLAR 0
Limit CORTARG 0
Limit CORTOAST 0
Limit CORTRON 0
Limit CORVIPE 0
Limit CORWIN 0

Limit CORASON 0
Limit CORATL 5
Limit CORFHLT 10
Limit CORFMKR 0
Limit CORFRT 10
Limit CORSONAR 0
Limit CORTIDE 0
Limit CORTL 0
Limit CORUWES 0
Limit CORUWFUS 0
Limit CORUWMEX 0
Limit CORUWMS 0

// Limits factories and c-units for medium diff.
Limit AAIAAP 10
Limit AAIALAB 0
Limit AAIASY 0
Limit AAIAVP 0
Limit AAIAP 2
Limit ARMHP 4
Limit AAILAB 0
Limit ARMPLAT 0
Limit AAISY 0
Limit AAIVP 0

Limit ARMAAP 0
Limit ARMALAB 0
Limit ARMASY 0
Limit ARMAVP 0
Limit ARMAP 0
Limit ARMLAB 0
Limit ARMSY 0
Limit ARMVP 0

Limit AAIACA 6
Limit AAIACK 0
Limit ARMACSUB 0
Limit AAIACV 0
Limit AAICA 10
Limit AAICK 0
Limit ARMCH 4
Limit AAICS 0
Limit ARMCSA 0
Limit AAICV 0

Limit ARMACA 0
Limit ARMACK 0
Limit ARMACV 0
Limit ARMCA 0
Limit ARMCK 0
Limit ARMCS 0
Limit ARMCV 0

Limit CAIAAP 10
Limit CAIALAB 0
Limit CAIASY 0
Limit CAIAVP 0
Limit CAIAP 2
Limit CAIGANT 0
Limit CORHP 4
Limit CAILAB 0
Limit CORPLAT 0
Limit CAISY 0
Limit CAIVP 0

Limit CORAAP 0
Limit CORALAB 0
Limit CORASY 0
Limit CORAVP 0
Limit CORAP 0
Limit CORGANT 0
Limit CORLAB 0
Limit CORSY 0
Limit CORVP 0

Limit CAIACA 6
Limit CAIACK 0
Limit CORACSUB 0
Limit CAIACV 0
Limit CAICA 10
Limit CAICK 0
Limit CORCH 4
Limit CAICS 0
Limit CORCSA 0
Limit CAICV 0

Limit CORACA 0
Limit CORACK 0
Limit CORACV 0
Limit CORCA 0
Limit CORCK 0
Limit CORCS 0
Limit CORCV 0

//------------------------ hard

plan hard

// Weights resource production.
Weight ARMGEO 0
Weight ARMFUS 1
Weight ARMAP 9
Weight ARMCA 3
Weight ARMACA 3
Weight ARMCH 3
Weight ARMACK 3
Weight ARMCK 3
Weight ARMTIDE 0
Weight ARMSOLAR 0
Weight ARMFRL 5
Weight ARMMEX 0
Weight ARMRL 4
Weight ARMCS 3
Weight ARMSY 0
Weight ARMAAP 9
Weight ARMPLAT 1.2
Weight ARMHP 1.1
Weight ARMACSUB 3
Weight ARMASY 0.7
Weight ARMBRTHA 0.7
Weight ARMFLAK 0.5
Weight ARMASP 0.4
Weight ARMFMKR 0
Weight ARMALAB 0.3
Weight ARMUWES 0
Weight ARMLAB 0.15
Weight ARMUWFUS 0
Weight ARMATL 0.1
Weight ARMGUARD 0.05
Weight ARMUWMS 0
Weight ARMMMKR 0
Weight ARMFIG 0.05

Weight CORGEO 0
Weight CORFUS 1
Weight CORAP 9
Weight CORCA 3
Weight CORACA 3
Weight CORCH 3
Weight CORTIDE 0
Weight CORSOLAR 0
Weight CORFRL 4
Weight CORMEX 0
Weight CORRL 4
Weight CORAAP 9
Weight CORHP 3
Weight CORPLAT 3
Weight CORACSUB 3
Weight CORCS 3
Weight CORSY 0
Weight CORASY 1.1
Weight CORFLAK 1.2
Weight CORINT 0.9
Weight CORFMKR 0
Weight CORUWFUS 0
Weight CORBUZZ 0.1
Weight CORUWMS 0
Weight CORUWES 0
Weight CORPUN 0.05
Weight CORMMKR 0
Weight CORVENG 0.05

// Weights ships, aircraft, hovercraft, and Kbots.
Weight ARMPT 9
Weight ARMCRUS 3
Weight ARMAAS 3
Weight ARMCARRY 0
Weight ARMSS 0
Weight ARMROY 2
Weight ARMSUB 2

Weight ARMHAWK 4
Weight ARMSEAP 3
Weight ARMSFIG 0
Weight ARMBRAWL 3

Weight ARMAH 3
Weight ARMANAC 0.6
Weight ARMMH 0.6

Weight ARMAMPH 9
Weight ARMDECOM 0
Weight ARMJETH 1.5

Weight CORPT 9
Weight CORCRUS 2
Weight CORARCH 3
Weight CORCARRY 0
Weight CORBATS 1
Weight CORROY 2
Weight CORMSHIP 0.3
Weight CORSSUB 0.7
Weight CORSUB 2

Weight CORAPE 3
Weight CORVAMP 2
Weight CORSEAP 1.5
Weight CORSFIG 0

Weight CORAH 3
Weight CORMH 0.6
Weight CORSNAP 0.6

// AI Units!

Limit AAICH 3
Limit AAIHP 1
Limit AAILANCE 3
Limit AAISH 5
Limit CAICH 3
Limit CAIHP 1
Limit CAISH 5
Limit CAITITAN 3

Weight nukeA 2
Weight AAIFUS 9
Weight AAIMEX 4
Weight AAIMEXX 4
Weight AAISOLRX 2
Weight AAISOLAR 1.2
Weight AAIMMKR 2
Weight AAITIDE 2
Weight AAIEMP 1
Weight AAISILO 3
Weight AAILAB 9
Weight AAIVP 9
Weight AAIAP 9
Weight AAISY 9
Weight AAIALAB 9
Weight AAIAAP 9
Weight AAIAVP 9
Weight AAIASY 9
Weight AAICV 9
Weight AAICK 9
Weight AAICA 9
Weight AAICS 9
Weight AAIACA 9
Weight AAIACV 9
Weight AAIACK 9
Weight AAIBRAWL 4
Weight AAIPNIX1 2
Weight AAIPNIX2 2
Weight AAITHUND 2
Weight AAIDECOM 0.1
Weight AAICROC 2
Weight AAIFLASH 2
Weight AAIPW 2

Weight nukeC 2
Weight CAIFUS 9
Weight CAIMEX 4
Weight CAIMEXX 4
Weight CAISOLRX 2
Weight CAISOLAR 1.2
Weight CAIMMKR 2
Weight CAITIDE 2
Weight CAITRON 2
Weight CAISILO 3
Weight CAILAB 9
Weight CAIVP 9
Weight CAIAP 2
Weight CAISY 2
Weight CAIALAB 9
Weight CAIAAP 9
Weight CAIAVP 9
Weight CAIASY 9
Weight CAICV 9
Weight CAICK 9
Weight CAICA 9
Weight CAICS 9
Weight CAIACA 9
Weight CAIACV 9
Weight CAIACK 9
Weight CAIGANT 3
Weight CAIAPE 4
Weight CAIHURC1 2
Weight CAIHURC2 2
Weight CAISHAD 2
Weight CAIDECOM 0.1
Weight CAIGATOR 2
Weight CAISEAL 2
Weight CAIAK 2

// ARM
// Limits: Aircraft, Hovercraft, K-bots, Ships, Seaplanes, Vehicles, Buildings, Naval Buildings

Limit ARMATLAS 0
Limit ARMAWAC 0
Limit ARMBRAWL 50
Limit ARMFIG 14
Limit ARMHAWK 100
Limit ARMLANCE 0
Limit ARMPEEP 0
Limit ARMPNIX 20
Limit ARMTHUND 20

Limit AAIBRAWL 50
Limit AAITHUND 20
Limit AAIPNIX1 20
Limit AAIPNIX2 20

Limit ARMAH 16
Limit ARMANAC 6
Limit ARMMH 8
Limit ARMSH 0
Limit ARMTHOVR 0

Limit ARMAMPH 0
Limit ARMASER 0
Limit ARMCOM 0
Limit ARMDECOM 0
Limit ARMFAST 0
Limit ARMFIDO 0
Limit ARMFLEA 0
Limit ARMHAM 0
Limit ARMJETH 8
Limit ARMMARK 0
Limit ARMMAV 0
Limit ARMPW 0
Limit ARMRECTR 0
Limit ARMROCK 0
Limit ARMSCORP 0
Limit ARMSEER 0
Limit ARMSNIPE 0
Limit ARMSPY 0
Limit ARMVADER 0
Limit ARMWAR 0
Limit ARMZEUS 0

Limit ARMAAS 8
Limit ARMBATS 8
Limit ARMCARRY 4
Limit ARMCRUS 10
Limit ARMMSHIP 10
Limit ARMPT 20
Limit ARMROY 8
Limit ARMSCRAM 0
Limit ARMSJAM 0
Limit ARMSS 0
Limit ARMSUB 16
Limit ARMSUBK 5
Limit ARMTSHIP 0

Limit ARMSEAP 16
Limit ARMSEHAK 0
